Date,Open,High,Low,Close,Volume,Adj Close
2007-10-01,26.450001,28.4,26.1,27.98,0,27.98
2007-10-02,28.299999,29.5,27.049999,27.549999,3469000,27.549999
2007-10-03,26.0,27.549999,26.0,26.549999,1458800,26.549999
2007-10-04,26.809999,27.0,26.1,27.0,2807400,27.0
2007-10-05,26.32,27.43,26.32,27.15,2846300,27.15
2007-10-08,27.040001,27.450001,27.0,27.27,2235300,27.27
2007-10-09,27.299999,27.450001,27.02,27.35,2903900,27.35
2007-10-10,27.799999,28.129999,26.82,26.969999,2065200,26.969999
2007-10-11,26.860001,27.52,26.709999,26.82,1788100,26.82
2007-10-12,27.0,28.5,26.5,28.4,3646600,28.4
2007-10-15,28.959999,29.25,28.6,29.08,3953400,29.08
2007-10-16,30.08,30.08,28.610001,29.030001,2784500,29.030001
2007-10-17,29.4,29.4,28.4,28.84,2447900,28.84
2007-10-18,28.01,28.950001,27.51,28.82,1506000,28.82
2007-10-19,28.719999,28.870001,27.51,27.530001,1718500,27.530001
2007-10-22,28.889999,28.889999,27.17,27.809999,1225700,27.809999
2007-10-23,28.049999,28.24,27.559999,27.889999,1176200,27.889999
2007-10-24,27.889999,28.26,27.5,28.26,1899500,28.26
2007-10-25,28.18,28.629999,27.940001,28.450001,1477100,28.450001
2007-10-26,28.700001,29.690001,28.5,28.9,1926300,28.9
2007-10-29,28.5,28.9,27.629999,27.83,1122400,27.83
2007-10-30,28.5,28.76,28.129999,28.34,1399000,28.34
2007-10-31,27.059999,28.639999,27.059999,28.530001,2720400,28.530001
2007-11-01,27.83,28.129999,27.459999,27.67,1501000,27.67
2007-11-02,27.700001,28.23,27.459999,27.940001,812000,27.940001
2007-11-05,27.99,28.0,27.18,27.4,959000,27.4
2007-11-06,27.02,27.49,27.0,27.25,934800,27.25
2007-11-07,27.01,27.75,26.629999,26.629999,1064700,26.629999
2007-11-08,26.65,26.65,25.889999,26.219999,1270400,26.219999
2007-11-09,25.82,25.82,24.75,24.77,1247900,24.77
2007-11-12,24.75,25.08,24.59,24.85,2256800,24.85
2007-11-13,25.01,25.950001,24.75,25.950001,823800,25.950001
2007-11-14,26.059999,26.059999,24.559999,25.0,942700,25.0
2007-11-15,25.0,25.09,24.23,24.41,1656200,24.41
2007-11-16,24.530001,24.530001,23.200001,23.799999,1893100,23.799999
2007-11-19,23.4,23.74,23.129999,23.129999,1459200,23.129999
2007-11-20,23.25,24.360001,22.35,24.120001,2057800,24.120001
2007-11-21,23.969999,24.51,23.9,24.01,863100,24.01
2007-11-23,24.219999,24.870001,23.6,24.84,518900,24.84
2007-11-26,24.959999,25.33,24.25,24.26,1270400,24.26
2007-11-27,24.16,24.6,23.969999,24.59,1025900,24.59
2007-11-28,25.01,26.26,24.59,26.1,691500,26.1
2007-11-29,26.07,26.780001,25.77,26.5,853000,26.5
2007-11-30,26.5,26.58,25.65,25.959999,1133800,25.959999
2007-12-03,25.530001,26.5,25.379999,26.190001,757900,26.190001
2007-12-04,26.41,27.5,26.25,26.450001,837500,26.450001
2007-12-05,26.67,27.309999,26.66,26.780001,2115900,26.780001
2007-12-06,26.77,27.09,26.66,26.870001,1164200,26.870001
2007-12-07,27.139999,27.23,26.290001,26.52,994300,26.52
2007-12-10,26.540001,26.860001,26.440001,26.690001,768600,26.690001
2007-12-11,26.700001,27.120001,25.48,25.540001,836300,25.540001
2007-12-12,26.059999,26.82,25.809999,26.16,762600,26.16
2007-12-13,25.9,26.719999,25.9,26.629999,664900,26.629999
2007-12-14,26.549999,27.74,26.49,27.120001,843300,27.120001
2007-12-17,26.950001,27.0,26.32,26.67,747900,26.67
2007-12-18,26.639999,27.120001,26.459999,26.83,722200,26.83
2007-12-19,27.09,27.09,26.16,26.440001,776200,26.440001
2007-12-20,26.65,26.73,26.440001,26.65,964700,26.65
2007-12-21,26.700001,27.1,26.5,26.870001,1734900,26.870001
2007-12-24,27.190001,27.700001,27.02,27.41,304700,27.41
2007-12-26,27.629999,27.629999,26.700001,27.040001,631400,27.040001
2007-12-27,26.67,26.98,26.67,26.799999,430500,26.799999
2007-12-28,27.030001,27.809999,27.0,27.5,1237900,27.5
2007-12-31,27.4,27.559999,27.219999,27.41,404000,27.41
2008-01-02,27.41,27.9,26.780001,26.84,1172300,26.84
2008-01-03,27.209999,27.5,26.780001,26.889999,1140800,26.889999
2008-01-04,26.690001,27.030001,26.290001,26.620001,929400,26.620001
2008-01-07,26.77,26.940001,26.75,26.870001,3274300,26.870001
2008-01-08,26.870001,27.23,26.629999,26.639999,3033500,26.639999
2008-01-09,26.77,26.99,26.450001,26.99,2036100,26.99
2008-01-10,27.049999,27.049999,26.4,26.73,644500,26.73
2008-01-11,26.66,26.700001,25.469999,25.75,1782900,25.75
2008-01-14,25.9,25.92,25.110001,25.52,1324300,25.52
2008-01-15,25.26,26.1,25.040001,25.110001,2197400,25.110001
2008-01-16,24.959999,26.34,24.959999,25.67,1683100,25.67
2008-01-17,25.690001,25.9,24.799999,24.84,831500,24.84
2008-01-18,24.969999,26.0,24.0,24.17,1441800,24.17
2008-01-22,23.09,23.73,22.129999,23.27,1871000,23.27
2008-01-23,22.360001,23.139999,22.25,22.48,3650100,22.48
2008-01-24,22.379999,23.18,22.25,22.91,1594400,22.91
2008-01-25,22.870001,23.4,22.639999,23.02,612000,23.02
2008-01-28,23.17,23.85,22.969999,23.85,614200,23.85
2008-01-29,23.99,23.99,23.360001,23.459999,975600,23.459999
2008-01-30,23.33,23.639999,22.92,23.09,1148300,23.09
2008-01-31,22.82,24.02,22.82,23.799999,895000,23.799999
2008-02-01,23.889999,24.0,23.530001,23.610001,924200,23.610001
2008-02-04,23.52,24.41,23.52,24.27,530000,24.27
2008-02-05,23.889999,24.0,23.43,23.57,589500,23.57
2008-02-06,23.469999,23.709999,23.139999,23.35,1367000,23.35
2008-02-07,23.34,23.58,23.059999,23.25,954600,23.25
2008-02-08,22.889999,23.120001,22.27,22.66,896700,22.66
2008-02-11,22.530001,22.76,22.43,22.6,826500,22.6
2008-02-12,22.5,23.0,21.1,21.75,3710500,21.75
2008-02-13,21.959999,24.16,21.889999,23.18,2862700,23.18
2008-02-14,23.07,23.799999,22.99,23.5,1597400,23.5
2008-02-15,23.33,23.75,23.110001,23.719999,1205800,23.719999
2008-02-19,24.01,24.73,23.84,24.52,1516400,24.52
2008-02-20,24.48,24.98,24.32,24.950001,988200,24.950001
2008-02-21,25.0,25.1,24.32,24.57,2735400,24.57
2008-02-22,24.620001,24.969999,24.389999,24.93,1074200,24.93
2008-02-25,24.99,25.219999,24.889999,25.120001,1750400,25.120001
2008-02-26,25.219999,26.5,25.01,26.030001,2855000,26.030001
2008-02-27,26.040001,27.040001,26.040001,26.49,1043000,26.49
2008-02-28,26.389999,26.67,26.030001,26.049999,495600,26.049999
2008-02-29,25.709999,25.950001,25.120001,25.23,644500,25.23
2008-03-03,25.25,26.040001,25.25,25.98,651100,25.98
2008-03-04,25.629999,26.049999,25.17,25.6,657800,25.6
2008-03-05,25.59,26.530001,25.59,26.530001,692400,26.530001
2008-03-06,26.26,26.530001,25.67,25.73,1216800,25.73
2008-03-07,25.4,25.629999,24.48,24.940001,1081700,24.940001
2008-03-10,24.860001,24.950001,24.16,24.18,710100,24.18
2008-03-11,24.290001,25.059999,24.290001,24.780001,1102200,24.780001
2008-03-12,25.01,25.059999,24.51,24.77,767600,24.77
2008-03-13,24.35,24.68,24.059999,24.530001,689300,24.530001
2008-03-14,25.42,25.42,23.6,23.709999,1089900,23.709999
2008-03-17,23.57,24.49,22.549999,22.65,1563400,22.65
2008-03-18,22.719999,23.82,22.57,23.73,1656200,23.73
2008-03-19,24.09,24.110001,22.9,22.98,1266300,22.98
2008-03-20,23.75,23.75,22.35,23.469999,1380200,23.469999
2008-03-24,23.52,25.379999,23.469999,24.92,1010200,24.92
2008-03-25,24.83,25.120001,24.030001,24.25,670000,24.25
2008-03-26,23.99,24.27,23.200001,23.26,884500,23.26
2008-03-27,23.290001,23.290001,22.24,22.51,1772100,22.51
2008-03-28,22.969999,22.99,21.92,21.92,812400,21.92
2008-03-31,21.9,22.26,21.4,22.059999,1628500,22.059999
2008-04-01,22.02,22.719999,20.110001,20.639999,3129900,20.639999
2008-04-02,20.76,21.91,20.68,21.57,1909600,21.57
2008-04-03,21.48,22.09,21.280001,21.98,1393800,21.98
2008-04-04,21.969999,22.030001,21.68,21.889999,1871300,21.889999
2008-04-07,22.01,22.360001,21.77,22.01,591400,22.01
