Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,19.66,20.4,19.610001,20.4,530200,20.4
2006-01-04,20.33,20.379999,20.0,20.17,506700,20.17
2006-01-05,20.1,20.540001,20.1,20.52,265500,20.52
2006-01-06,20.790001,21.190001,20.559999,21.190001,430200,21.190001
2006-01-09,21.299999,21.610001,21.17,21.26,438000,21.26
2006-01-10,21.35,21.440001,21.08,21.09,307600,21.09
2006-01-11,21.129999,21.219999,20.780001,21.110001,299500,21.110001
2006-01-12,21.1,21.18,20.700001,21.129999,671600,21.129999
2006-01-13,21.08,21.360001,21.02,21.299999,354200,21.299999
2006-01-17,21.370001,21.459999,20.85,21.120001,485000,21.120001
2006-01-18,21.1,21.200001,20.299999,20.389999,673100,20.389999
2006-01-19,20.610001,20.719999,20.16,20.6,389300,20.6
2006-01-20,20.75,20.75,19.82,19.92,656000,19.92
2006-01-23,19.889999,20.209999,19.77,19.950001,371800,19.950001
2006-01-24,20.040001,20.52,19.92,20.450001,383100,20.450001
2006-01-25,20.76,21.360001,20.68,21.08,843700,21.08
2006-01-26,20.66,21.15,20.280001,20.9,785500,20.9
2006-01-27,20.299999,20.59,19.82,20.059999,1381600,20.059999
2006-01-30,20.0,21.18,20.0,21.049999,1025200,21.049999
2006-01-31,21.0,22.0,20.85,21.950001,970100,21.950001
2006-02-01,21.629999,21.940001,21.35,21.629999,723400,21.629999
2006-02-02,21.5,21.709999,21.25,21.65,899400,21.65
2006-02-03,21.610001,21.74,21.280001,21.4,420700,21.4
2006-02-06,21.26,21.67,21.030001,21.59,385700,21.59
2006-02-07,21.51,21.9,21.35,21.5,461600,21.5
2006-02-08,21.5,22.120001,21.280001,22.059999,451600,22.059999
2006-02-09,22.07,22.41,21.809999,22.0,464400,22.0
2006-02-10,21.93,22.139999,21.77,21.870001,306600,21.870001
2006-02-13,21.700001,21.92,21.360001,21.469999,620100,21.469999
2006-02-14,20.969999,22.16,20.969999,21.959999,375600,21.959999
2006-02-15,21.92,22.09,21.6,22.08,270200,22.08
2006-02-16,22.07,22.200001,21.469999,22.129999,701700,22.129999
2006-02-17,21.709999,23.17,21.709999,22.93,521100,22.93
2006-02-21,22.879999,23.209999,22.16,22.219999,589000,22.219999
2006-02-22,22.23,22.93,22.200001,22.719999,199700,22.719999
2006-02-23,22.75,23.0,22.540001,22.75,288500,22.75
2006-02-24,22.700001,23.030001,22.65,22.74,326000,22.74
2006-02-27,22.780001,23.33,22.75,23.25,312400,23.25
2006-02-28,23.120001,23.24,22.32,22.65,460100,22.65
2006-03-01,22.65,23.040001,22.379999,22.9,215600,22.9
2006-03-02,23.049999,23.049999,22.139999,22.43,462500,22.43
2006-03-03,22.25,22.389999,21.85,21.99,329500,21.99
2006-03-06,21.040001,22.18,21.040001,21.620001,395300,21.620001
2006-03-07,21.5,21.65,21.02,21.09,359600,21.09
2006-03-08,21.700001,21.799999,21.0,21.17,380400,21.17
2006-03-09,21.129999,21.610001,20.92,21.549999,521600,21.549999
2006-03-10,21.51,21.940001,21.299999,21.85,246900,21.85
2006-03-13,21.700001,22.030001,21.200001,21.309999,247900,21.309999
2006-03-14,21.18,21.67,21.049999,21.42,193700,21.42
2006-03-15,21.42,21.799999,21.370001,21.700001,147400,21.700001
2006-03-16,21.700001,21.799999,21.5,21.559999,231600,21.559999
2006-03-17,21.559999,21.799999,21.4,21.530001,423300,21.530001
2006-03-20,21.530001,21.77,21.26,21.709999,144600,21.709999
2006-03-21,21.65,21.91,21.450001,21.48,211600,21.48
2006-03-22,22.43,22.43,21.450001,21.92,342000,21.92
2006-03-23,21.93,21.98,21.57,21.799999,123100,21.799999
2006-03-24,21.84,22.1,21.620001,22.07,145900,22.07
2006-03-27,21.940001,21.99,21.68,21.77,106000,21.77
2006-03-28,21.65,21.879999,21.450001,21.559999,190200,21.559999
2006-03-29,21.48,22.0,21.459999,21.870001,140200,21.870001
2006-03-30,21.780001,21.950001,21.629999,21.92,138100,21.92
2006-03-31,21.85,21.870001,21.360001,21.690001,210500,21.690001
2006-04-03,21.709999,21.799999,21.08,21.09,320900,21.09
2006-04-04,21.18,21.24,20.889999,21.02,426800,21.02
2006-04-05,21.0,21.190001,20.639999,21.049999,303700,21.049999
2006-04-06,20.93,21.469999,20.82,21.469999,676900,21.469999
2006-04-07,21.57,22.24,21.48,21.73,400200,21.73
2006-04-10,21.799999,22.280001,21.77,22.25,400500,22.25
2006-04-11,22.32,22.58,22.18,22.34,661100,22.34
2006-04-12,22.280001,24.219999,22.280001,23.940001,964500,23.940001
2006-04-13,23.940001,25.389999,23.6,24.959999,878500,24.959999
2006-04-17,24.959999,25.83,24.959999,25.59,822900,25.59
2006-04-18,25.59,26.67,25.58,26.6,734500,26.6
2006-04-19,26.6,27.059999,26.6,26.98,726400,26.98
2006-04-20,26.73,26.99,26.129999,26.5,710600,26.5
2006-04-21,27.0,27.059999,26.6,26.73,509400,26.73
2006-04-24,26.73,26.74,26.049999,26.559999,271100,26.559999
2006-04-25,26.59,26.73,26.1,26.6,268600,26.6
2006-04-26,26.65,27.549999,26.65,27.450001,526000,27.450001
2006-04-27,23.5,24.85,23.280001,24.5,3166400,24.5
2006-04-28,24.5,24.5,23.879999,24.049999,655200,24.049999
2006-05-01,24.049999,24.110001,23.49,23.549999,547400,23.549999
2006-05-02,23.799999,24.370001,23.51,24.15,491200,24.15
2006-05-03,24.15,24.440001,23.879999,24.08,404900,24.08
2006-05-04,23.93,24.129999,23.860001,23.99,244600,23.99
2006-05-05,23.92,24.799999,23.92,24.719999,364700,24.719999
2006-05-08,24.709999,26.129999,24.66,25.780001,612000,25.780001
2006-05-09,25.25,26.01,24.9,26.0,339100,26.0
2006-05-10,25.790001,26.040001,25.209999,25.59,557300,25.59
2006-05-11,25.34,25.59,25.200001,25.4,501000,25.4
2006-05-12,25.200001,25.280001,24.790001,24.84,491400,24.84
2006-05-15,24.4,25.040001,24.129999,24.610001,462500,24.610001
2006-05-16,24.549999,24.549999,24.110001,24.370001,275900,24.370001
2006-05-17,24.120001,24.34,23.33,23.639999,553900,23.639999
2006-05-18,23.85,24.67,23.639999,24.24,515900,24.24
2006-05-19,24.139999,24.639999,23.74,24.540001,419900,24.540001
2006-05-22,24.549999,24.549999,23.27,23.65,469300,23.65
2006-05-23,23.9,24.200001,23.790001,23.83,461500,23.83
2006-05-24,23.799999,24.32,23.52,24.02,475400,24.02
2006-05-25,24.200001,24.57,23.9,24.09,515200,24.09
2006-05-26,24.02,24.23,23.92,24.07,327600,24.07
2006-05-30,23.82,23.82,23.01,23.02,402400,23.02
2006-05-31,23.370001,23.92,23.32,23.84,325400,23.84
2006-06-01,24.0,24.84,23.889999,24.84,322600,24.84
2006-06-02,25.040001,25.18,24.49,24.82,254500,24.82
2006-06-05,24.549999,24.75,24.15,24.15,395300,24.15
2006-06-06,24.26,24.280001,23.870001,24.23,498400,24.23
2006-06-07,24.09,24.92,24.08,24.110001,197700,24.110001
2006-06-08,24.17,24.690001,23.709999,24.559999,389000,24.559999
2006-06-09,24.700001,24.879999,24.059999,24.120001,287000,24.120001
2006-06-12,24.200001,24.200001,23.559999,23.75,516500,23.75
2006-06-13,23.67,23.76,22.77,22.85,480600,22.85
2006-06-14,22.9,23.450001,22.59,23.34,455000,23.34
2006-06-15,23.99,24.459999,23.68,24.049999,932400,24.049999
2006-06-16,24.08,25.25,24.02,25.0,1085300,25.0
2006-06-19,24.9,25.17,24.629999,24.92,246800,24.92
2006-06-20,24.76,25.33,24.68,24.969999,309700,24.969999
2006-06-21,25.07,25.57,25.049999,25.440001,257800,25.440001
2006-06-22,25.450001,25.860001,25.139999,25.77,146800,25.77
2006-06-23,25.85,26.1,25.49,25.610001,198700,25.610001
2006-06-26,25.959999,25.98,25.6,25.93,348000,25.93
2006-06-27,25.91,26.23,25.469999,25.66,328900,25.66
2006-06-28,25.809999,25.92,25.299999,25.68,240600,25.68
2006-06-29,25.790001,26.040001,25.360001,25.860001,775800,25.860001
2006-06-30,26.049999,26.200001,25.68,26.0,518800,26.0
2006-07-03,26.26,26.389999,26.02,26.09,116500,26.09
2006-07-05,25.84,25.84,25.110001,25.23,362500,25.23
2006-07-06,25.299999,25.299999,24.77,25.0,204600,25.0
2006-07-07,25.0,25.0,24.379999,24.49,312100,24.49
2006-07-10,24.58,24.77,24.209999,24.35,257500,24.35
2006-07-11,24.25,24.34,23.92,24.219999,267100,24.219999
2006-07-12,23.0,23.719999,22.950001,23.360001,958800,23.360001
2006-07-13,23.200001,23.24,22.799999,22.969999,543000,22.969999
2006-07-14,22.52,22.639999,22.18,22.26,448800,22.26
2006-07-17,22.299999,22.59,21.690001,21.92,542100,21.92
2006-07-18,21.9,22.15,21.379999,21.690001,352800,21.690001
2006-07-19,21.75,22.540001,21.75,22.15,600900,22.15
2006-07-20,22.15,22.209999,20.780001,20.83,654600,20.83
2006-07-21,20.83,20.85,20.030001,20.48,675700,20.48
2006-07-24,20.700001,21.01,20.139999,20.98,627100,20.98
2006-07-25,20.940001,21.65,20.940001,21.459999,778500,21.459999
2006-07-26,21.469999,21.469999,20.709999,20.950001,580000,20.950001
2006-07-27,21.1,22.450001,20.969999,21.9,1166200,21.9
2006-07-28,21.9,23.120001,21.9,23.120001,860800,23.120001
2006-07-31,23.0,23.33,22.82,23.23,668400,23.23
2006-08-01,23.219999,23.440001,22.73,22.879999,455100,22.879999
2006-08-02,22.889999,23.209999,22.639999,22.690001,345100,22.690001
2006-08-03,22.200001,23.35,22.120001,23.07,456800,23.07
2006-08-04,24.5,24.940001,23.15,23.49,445100,23.49
2006-08-07,23.52,23.969999,23.299999,23.83,208200,23.83
2006-08-08,23.870001,24.01,23.190001,23.27,153500,23.27
2006-08-09,23.48,23.700001,22.530001,22.639999,158400,22.639999
2006-08-10,23.540001,23.540001,22.35,22.98,233200,22.98
2006-08-11,22.82,22.9,22.440001,22.440001,221000,22.440001
2006-08-14,22.48,22.92,22.459999,22.6,313800,22.6
2006-08-15,23.030001,23.629999,23.030001,23.629999,528100,23.629999
2006-08-16,23.879999,24.18,23.59,24.059999,172800,24.059999
2006-08-17,23.940001,24.57,23.93,24.24,214600,24.24
2006-08-18,24.35,24.35,23.620001,24.07,172700,24.07
2006-08-21,23.91,23.91,23.139999,23.17,171200,23.17
2006-08-22,22.860001,23.190001,22.860001,23.030001,264400,23.030001
2006-08-23,23.040001,23.280001,22.49,22.559999,339500,22.559999
2006-08-24,22.700001,22.959999,22.18,22.379999,259400,22.379999
2006-08-25,22.25,22.35,21.879999,21.950001,274800,21.950001
2006-08-28,21.9,22.0,21.65,21.68,426300,21.68
2006-08-29,21.799999,22.459999,21.610001,22.34,422600,22.34
2006-08-30,22.33,22.91,22.200001,22.82,245400,22.82
2006-08-31,22.950001,23.360001,22.709999,22.75,175800,22.75
2006-09-01,22.73,23.58,22.67,23.309999,181900,23.309999
2006-09-05,23.200001,23.709999,23.07,23.450001,199300,23.450001
2006-09-06,23.25,23.25,22.870001,22.879999,192200,22.879999
2006-09-07,22.719999,23.059999,22.389999,22.549999,352700,22.549999
2006-09-08,22.68,22.879999,22.530001,22.639999,206600,22.639999
2006-09-11,22.440001,22.719999,22.18,22.65,427800,22.65
2006-09-12,22.65,24.049999,22.629999,23.700001,583900,23.700001
2006-09-13,23.76,24.469999,23.709999,24.09,685400,24.09
2006-09-14,23.9,24.1,23.6,23.940001,447900,23.940001
2006-09-15,24.110001,24.27,23.59,23.639999,733900,23.639999
2006-09-18,23.469999,23.5,22.709999,23.25,501200,23.25
2006-09-19,23.16,23.190001,22.58,22.959999,412900,22.959999
2006-09-20,23.209999,23.879999,23.209999,23.549999,311400,23.549999
2006-09-21,23.709999,23.709999,22.719999,22.77,373700,22.77
2006-09-22,22.52,22.629999,21.52,22.0,852500,22.0
2006-09-25,22.200001,22.4,21.809999,22.35,705500,22.35
2006-09-26,22.42,23.030001,22.379999,22.77,696800,22.77
2006-09-27,22.74,23.58,22.65,23.440001,622100,23.440001
2006-09-28,23.5,23.85,23.370001,23.610001,392300,23.610001
2006-09-29,23.610001,23.799999,23.379999,23.389999,359700,23.389999
2006-10-02,23.35,23.879999,23.1,23.4,479100,23.4
2006-10-03,22.9,23.01,22.35,22.469999,803000,22.469999
