Date,Open,High,Low,Close,Volume,Adj Close
2013-04-10,23.35,23.780001,22.870001,23.040001,24175600,23.040001
2013-04-11,23.5,24.190001,23.209999,24.01,3952600,24.01
2013-04-12,24.0,24.690001,23.77,24.299999,1928200,24.299999
2013-04-15,24.200001,24.530001,22.91,23.450001,1836200,23.450001
2013-04-16,24.08,24.09,23.07,23.75,1168700,23.75
2013-04-17,23.49,23.75,23.0,23.58,1390100,23.58
2013-04-18,23.58,24.0,23.0,23.17,1195300,23.17
2013-04-19,23.17,24.049999,23.17,24.049999,1378500,24.049999
2013-04-22,24.0,24.1,23.200001,23.75,730600,23.75
2013-04-23,24.08,24.75,23.290001,23.48,1183300,23.48
2013-04-24,23.549999,24.33,23.530001,24.25,1290800,24.25
2013-04-25,24.35,25.75,24.190001,24.700001,1009500,24.700001
2013-04-26,25.16,25.700001,24.700001,25.549999,726200,25.549999
2013-04-29,25.700001,26.58,25.610001,26.08,714200,26.08
2013-04-30,26.18,26.41,25.66,25.780001,916900,25.780001
2013-05-01,26.1,26.18,24.799999,25.48,796700,25.48
2013-05-02,25.73,26.799999,25.73,26.719999,652900,26.719999
2013-05-03,26.99,26.99,26.129999,26.48,672400,26.48
2013-05-06,26.379999,27.0,25.790001,26.879999,635300,26.879999
2013-05-07,26.950001,27.01,26.66,26.889999,609700,26.889999
2013-05-08,26.700001,26.83,25.34,26.1,674500,26.1
2013-05-09,26.08,26.360001,25.65,25.85,934500,25.85
2013-05-10,26.219999,26.870001,25.91,26.200001,353600,26.200001
2013-05-13,26.440001,26.49,25.879999,25.959999,544200,25.959999
2013-05-14,26.200001,26.82,26.0,26.65,863500,26.65
2013-05-15,26.639999,26.74,25.709999,25.860001,619900,25.860001
2013-05-16,25.98,26.02,25.040001,25.219999,543400,25.219999
2013-05-17,25.57,26.280001,25.1,25.33,540900,25.33
2013-05-20,26.01,26.33,25.620001,26.33,1162500,26.33
2013-05-21,26.700001,27.299999,25.92,26.1,444800,26.1
2013-05-22,26.309999,26.790001,26.02,26.15,307700,26.15
2013-05-23,25.709999,26.65,25.6,26.59,414800,26.59
2013-05-24,26.4,26.5,26.200001,26.299999,164100,26.299999
2013-05-28,26.5,26.870001,26.4,26.58,463800,26.58
2013-05-29,26.120001,26.309999,25.93,25.98,1262200,25.98
2013-05-30,25.950001,26.48,25.870001,26.280001,347800,26.280001
2013-05-31,26.15,26.290001,25.83,25.83,299300,25.83
2013-06-03,26.07,26.190001,25.34,25.73,425700,25.73
2013-06-04,25.6,25.709999,24.959999,25.030001,227300,25.030001
2013-06-05,24.950001,25.17,23.6,23.91,279600,23.91
2013-06-06,23.65,25.15,23.389999,24.98,916400,24.98
2013-06-07,25.34,25.58,24.799999,25.030001,602100,25.030001
2013-06-10,25.15,25.23,24.530001,24.889999,459500,24.889999
2013-06-11,24.389999,25.0,24.01,24.370001,250900,24.370001
2013-06-12,24.4,25.09,23.4,23.940001,289200,23.940001
2013-06-13,23.719999,25.139999,23.700001,24.870001,555100,24.870001
2013-06-14,24.9,25.889999,24.9,25.219999,384500,25.219999
2013-06-17,25.969999,26.66,25.26,25.469999,1917200,25.469999
2013-06-18,25.700001,26.809999,25.5,26.709999,1118700,26.709999
2013-06-19,26.67,27.67,26.35,26.389999,1110000,26.389999
2013-06-20,26.110001,26.639999,24.530001,25.450001,1409000,25.450001
2013-06-21,25.629999,25.91,24.57,25.17,3604700,25.17
2013-06-24,24.65,24.860001,22.91,24.049999,1206400,24.049999
2013-06-25,25.370001,25.5,24.290001,24.530001,395500,24.530001
2013-06-26,24.84,25.549999,23.9,24.26,414400,24.26
2013-06-27,24.5,25.200001,24.23,25.139999,306200,25.139999
2013-06-28,25.139999,25.26,24.15,24.379999,1607000,24.379999
2013-07-01,24.790001,25.190001,24.4,24.700001,426700,24.700001
2013-07-02,24.52,25.120001,24.07,24.280001,592200,24.280001
2013-07-03,24.280001,25.280001,23.99,24.780001,983300,24.780001
2013-07-05,25.02,25.02,23.07,23.799999,591700,23.799999
2013-07-08,23.83,24.1,23.440001,23.92,268900,23.92
2013-07-09,23.860001,24.75,23.58,24.700001,818300,24.700001
2013-07-10,24.700001,24.780001,24.360001,24.540001,294000,24.540001
2013-07-11,24.83,26.1,24.83,25.73,617200,25.73
2013-07-12,25.799999,26.469999,25.549999,25.889999,254400,25.889999
2013-07-15,26.16,26.16,25.030001,25.15,269200,25.15
2013-07-16,25.190001,26.25,24.42,24.540001,570500,24.540001
2013-07-17,24.620001,25.309999,24.23,25.120001,401900,25.120001
2013-07-18,25.35,25.35,24.700001,24.73,295800,24.73
2013-07-19,24.690001,24.889999,24.629999,24.700001,184100,24.700001
2013-07-22,24.91,24.91,23.82,24.65,270200,24.65
2013-07-23,24.92,25.0,24.41,24.6,306800,24.6
2013-07-24,24.790001,24.790001,24.1,24.26,423000,24.26
2013-07-25,23.67,23.92,22.01,22.610001,786700,22.610001
2013-07-26,22.35,23.219999,22.35,22.9,634400,22.9
2013-07-29,22.889999,23.030001,22.23,22.280001,103600,22.280001
2013-07-30,22.32,23.129999,22.27,23.09,457400,23.09
2013-07-31,23.120001,24.58,22.34,24.23,776800,24.23
2013-08-01,24.549999,24.950001,22.129999,22.34,888100,22.34
2013-08-02,22.379999,22.85,22.15,22.4,340800,22.4
2013-08-05,22.450001,22.77,22.01,22.129999,276300,22.129999
2013-08-06,22.209999,22.4,21.25,22.01,577400,22.01
2013-08-07,21.99,22.0,21.01,21.059999,360300,21.059999
2013-08-08,21.0,21.83,20.700001,21.5,546200,21.5
2013-08-09,21.299999,22.84,21.24,22.08,767600,22.08
2013-08-12,22.299999,22.52,21.549999,21.959999,544300,21.959999
2013-08-13,21.950001,22.610001,21.25,21.940001,594600,21.940001
2013-08-14,22.49,22.799999,19.82,20.030001,1668500,20.030001
2013-08-15,19.73,20.51,17.93,20.059999,1729200,20.059999
2013-08-16,20.5,21.02,20.5,20.58,365800,20.58
2013-08-19,20.51,20.93,19.84,19.959999,421100,19.959999
2013-08-20,20.200001,20.540001,19.85,20.5,1213600,20.5
2013-08-21,20.9,21.66,20.52,20.75,549200,20.75
2013-08-22,20.879999,21.530001,20.780001,21.360001,249500,21.360001
2013-08-23,21.32,21.52,20.85,21.09,306000,21.09
2013-08-26,21.16,21.59,20.68,21.01,587600,21.01
2013-08-27,20.780001,20.780001,20.0,20.01,571900,20.01
2013-08-28,20.0,20.290001,19.92,20.200001,443800,20.200001
2013-08-29,20.059999,21.27,20.059999,20.889999,486400,20.889999
2013-08-30,20.92,20.99,20.290001,20.610001,363800,20.610001
2013-09-03,20.65,21.4,20.379999,20.559999,444300,20.559999
2013-09-04,20.559999,21.35,20.450001,20.59,610300,20.59
2013-09-05,20.629999,20.629999,19.85,20.190001,457900,20.190001
2013-09-06,20.48,21.290001,20.049999,20.68,440900,20.68
2013-09-09,20.83,21.83,20.5,21.799999,272400,21.799999
2013-09-10,21.93,22.040001,21.450001,21.610001,521800,21.610001
2013-09-11,21.68,22.290001,21.4,21.83,482700,21.83
2013-09-12,21.85,22.84,21.85,22.74,463700,22.74
2013-09-13,22.690001,22.99,21.85,22.450001,588900,22.450001
2013-09-16,22.93,23.879999,22.790001,22.879999,870100,22.879999
2013-09-17,23.02,23.35,22.5,22.84,471800,22.84
2013-09-18,22.799999,23.74,21.790001,23.370001,1166300,23.370001
2013-09-19,23.549999,24.139999,23.42,23.83,918300,23.83
2013-09-20,23.889999,23.889999,22.34,23.02,3430200,23.02
2013-09-23,22.969999,22.99,22.379999,22.4,807300,22.4
2013-09-24,22.459999,23.440001,22.299999,22.66,664500,22.66
2013-09-25,22.76,23.4,22.26,23.15,350000,23.15
