Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,24.4,25.43,23.950001,25.209999,323200,24.134486
2006-01-04,24.209999,25.059999,24.1,24.75,314700,23.694112
2006-01-05,24.700001,24.940001,24.5,24.92,147700,23.856859
2006-01-06,24.780001,24.959999,24.65,24.85,178300,23.789846
2006-01-09,24.85,25.530001,24.85,25.309999,140200,24.230221
2006-01-10,25.110001,25.559999,24.799999,25.1,225400,24.029181
2006-01-11,25.219999,25.25,24.9,25.15,172800,24.077047
2006-01-12,25.200001,25.26,24.639999,25.040001,117500,23.971741
2006-01-13,24.860001,25.27,24.74,25.25,147900,24.172781
2006-01-17,25.5,25.6,25.09,25.27,278700,24.191928
2006-01-18,25.1,25.290001,24.959999,25.23,135300,24.153634
2006-01-19,25.129999,25.76,25.08,25.42,160300,24.335528
2006-01-20,25.67,25.67,25.01,25.110001,136300,24.038754
2006-01-23,25.25,25.440001,24.870001,25.209999,114000,24.134486
2006-01-24,25.450001,27.5,25.35,26.99,351200,25.838549
2006-01-25,26.98,26.98,25.809999,26.549999,157900,25.417319
2006-01-26,26.549999,27.07,26.42,27.030001,141000,25.876843
2006-01-27,27.049999,27.57,26.860001,27.1,182000,25.943856
2006-01-30,27.1,27.5,26.950001,27.219999,160800,26.058736
2006-01-31,27.299999,27.6,26.790001,27.530001,174100,26.355512
2006-02-01,27.33,27.85,27.0,27.34,249800,26.173617
2006-02-02,27.49,27.6,27.299999,27.42,214300,26.250204
2006-02-03,27.5,27.879999,27.299999,27.76,129500,26.575699
2006-02-06,27.959999,28.59,27.950001,28.59,119500,27.370289
2006-02-07,28.5,28.75,27.82,28.040001,164400,26.843754
2006-02-08,28.0,28.0,27.4,27.549999,203100,26.374657
2006-02-09,27.65,27.790001,27.450001,27.58,162900,26.403378
2006-02-10,27.5,27.549999,26.84,27.1,245100,25.943856
2006-02-13,27.1,27.370001,26.950001,26.950001,169200,25.800256
2006-02-14,26.700001,27.67,26.17,27.67,195400,26.489539
2006-02-15,27.370001,28.290001,27.309999,28.290001,161000,27.083089
2006-02-16,28.299999,29.440001,28.299999,29.049999,143300,27.810664
2006-02-17,29.049999,29.049999,27.92,28.17,148500,26.968207
2006-02-21,28.15,28.17,27.24,27.9,97100,26.709726
2006-02-22,28.049999,28.049999,27.719999,27.969999,63900,26.776739
2006-02-23,27.969999,27.969999,27.35,27.700001,121300,26.518259
2006-02-24,28.5,31.049999,28.469999,30.15,648500,28.863736
