Date,Open,High,Low,Close,Volume,Adj Close
2010-12-07,24.1,25.200001,23.5,24.700001,10577600,18.337195
2010-12-08,24.51,26.0,24.4,25.65,865200,19.042471
2010-12-09,25.35,26.25,25.34,25.57,877800,18.983079
2010-12-10,25.370001,25.790001,25.290001,25.639999,436900,19.035047
2010-12-13,25.5,26.690001,25.49,26.52,397800,19.688356
2010-12-14,26.4,26.6,25.790001,26.540001,250500,19.703205
2010-12-15,26.559999,27.139999,25.48,26.059999,396100,19.346853
2010-12-16,25.959999,26.93,25.950001,26.809999,133000,19.903651
2010-12-17,26.99,27.549999,26.9,27.309999,101600,20.274849
2010-12-20,27.209999,28.4,27.190001,27.530001,149300,20.438177
2010-12-21,27.629999,27.700001,26.6,27.049999,139200,20.081826
2010-12-22,26.85,26.879999,26.209999,26.879999,157500,19.955618
2010-12-23,26.73,26.860001,26.700001,26.860001,135200,19.940771
2010-12-27,26.75,26.75,26.43,26.51,97000,19.680932
2010-12-28,26.450001,26.85,26.4,26.799999,204000,19.896227
2010-12-29,26.540001,27.15,26.5,27.15,75200,20.156066
2010-12-30,27.01,27.190001,26.85,27.030001,298000,20.066979
2010-12-31,27.0,27.049999,26.790001,26.809999,49800,19.903651
