Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,22.559999,22.870001,22.24,22.84,321300,15.548584
2006-01-04,22.84,22.969999,22.709999,22.799999,223300,15.521353
2006-01-05,22.809999,22.98,22.719999,22.77,209200,15.500931
2006-01-06,22.9,23.15,22.75,22.950001,334300,15.623468
2006-01-09,22.98,23.27,22.93,23.129999,276500,15.746004
2006-01-10,23.02,23.209999,22.93,23.200001,165800,15.793658
2006-01-11,23.25,23.26,22.92,22.99,264100,15.650698
2006-01-12,22.99,23.040001,22.76,22.860001,162200,15.562199
2006-01-13,22.879999,23.27,22.82,22.9,185500,15.589429
2006-01-17,22.799999,22.9,22.66,22.75,337100,15.487315
2006-01-18,22.6,23.07,22.6,22.860001,175300,15.562199
2006-01-19,22.9,23.17,22.75,23.040001,151600,15.684736
2006-01-20,23.139999,23.139999,22.700001,22.82,320600,15.534968
2006-01-23,22.75,23.23,22.75,23.040001,183600,15.684736
2006-01-24,23.049999,23.469999,23.02,23.209999,169900,15.800464
2006-01-25,23.26,23.33,22.99,23.139999,279700,15.752811
2006-01-26,23.290001,23.559999,23.16,23.41,300600,15.936617
2006-01-27,23.530001,23.6,23.25,23.34,193600,15.888964
2006-01-30,23.34,23.5,22.92,23.0,221400,15.657505
2006-01-31,21.6,22.25,20.700001,22.200001,1724000,15.112897
2006-02-01,22.200001,22.440001,22.08,22.32,547900,15.194588
2006-02-02,22.16,22.459999,22.0,22.27,380700,15.16055
2006-02-03,22.17,22.299999,22.0,22.129999,248200,15.065243
2006-02-06,22.129999,22.139999,21.709999,21.99,300900,14.969936
2006-02-07,22.0,22.059999,21.42,21.43,628500,14.588711
2006-02-08,21.41,21.52,21.27,21.469999,349700,14.61594
2006-02-09,21.49,21.690001,21.370001,21.4,236500,14.568287
2006-02-10,21.35,21.450001,21.18,21.200001,297800,14.432136
2006-02-13,21.200001,21.200001,20.92,20.98,351300,14.282368
2006-02-14,21.02,21.530001,21.0,21.290001,259300,14.493404
2006-02-15,21.24,21.360001,21.059999,21.23,327900,14.452558
2006-02-16,21.33,21.43,21.120001,21.4,374400,14.568287
2006-02-17,20.76,21.440001,20.76,21.34,158100,14.527442
2006-02-21,21.309999,21.309999,20.709999,20.93,588900,14.24833
2006-02-22,20.959999,21.32,20.91,21.280001,342800,14.486597
2006-02-23,21.190001,21.379999,21.049999,21.15,225100,14.398097
2006-02-24,21.15,21.48,21.0,21.370001,368100,14.547865
2006-02-27,21.43,21.65,21.33,21.620001,632800,14.718056
2006-02-28,21.620001,21.799999,21.17,21.190001,425400,14.425328
2006-03-01,21.25,21.440001,21.15,21.219999,275300,14.44575
2006-03-02,21.17,21.389999,21.049999,21.27,522200,14.479789
2006-03-03,21.040001,21.530001,21.040001,21.190001,704600,14.425328
2006-03-06,21.24,21.25,20.879999,20.940001,355700,14.255138
2006-03-07,20.85,20.93,20.52,20.629999,405900,14.044101
2006-03-08,20.450001,20.629999,20.280001,20.379999,455500,14.023459
2006-03-09,20.389999,20.629999,20.27,20.379999,417900,14.023459
2006-03-10,20.370001,20.68,20.23,20.639999,410400,14.202365
2006-03-13,20.59,20.92,20.48,20.540001,400600,14.133556
2006-03-14,20.450001,20.48,20.16,20.280001,452000,13.95465
2006-03-15,20.200001,20.42,20.0,20.35,477100,14.002817
2006-03-16,20.379999,20.58,20.34,20.459999,204000,14.078507
2006-03-17,20.549999,20.76,20.440001,20.540001,598300,14.133556
2006-03-20,20.549999,20.73,20.360001,20.42,350500,14.050983
2006-03-21,20.379999,20.5,19.809999,19.969999,445100,13.741338
2006-03-22,19.969999,20.33,19.889999,20.23,306400,13.920244
2006-03-23,20.200001,20.35,20.049999,20.25,630400,13.934006
2006-03-24,20.24,20.48,20.200001,20.4,403300,14.037221
2006-03-27,20.4,20.58,20.389999,20.440001,417100,14.064746
2006-03-28,20.469999,20.77,20.32,20.66,579000,14.216127
2006-03-29,20.65,20.65,20.23,20.459999,657300,14.078507
2006-03-30,20.559999,20.58,20.27,20.469999,287800,14.085388
2006-03-31,20.52,20.59,20.32,20.59,419300,14.16796
2006-04-03,21.5,22.110001,21.440001,21.709999,1019600,14.938631
2006-04-04,21.83,22.0,21.559999,21.700001,670400,14.931751
2006-04-05,21.83,22.1,21.559999,21.700001,554900,14.931751
2006-04-06,21.709999,22.139999,21.620001,21.950001,532000,15.103775
2006-04-07,22.1,22.23,21.6,21.65,462400,14.897345
2006-04-10,21.77,21.870001,21.5,21.75,727200,14.966155
2006-04-11,21.82,21.91,21.32,21.360001,377000,14.697797
2006-04-12,21.26,21.459999,21.209999,21.389999,275500,14.718439
