Date,Open,High,Low,Close,Volume,Adj Close
2009-10-30,9.890004,9.900003,9.590004,9.690004,12000,3.452547
2009-11-02,9.700003,9.700003,9.649997,9.649997,32000,3.438293
2009-11-03,9.569995,9.600003,9.490004,9.510001,40800,3.388412
2009-11-04,9.490004,9.510001,9.12,9.349996,52500,3.331403
2009-11-05,9.300002,9.400002,9.300002,9.369995,28700,3.338528
2009-11-06,9.269995,9.349996,9.090003,9.22,2600,3.285085
2009-11-09,9.200002,9.200002,9.000002,9.02,55200,3.213825
2009-11-10,9.200002,9.72,8.749996,8.780003,375500,3.128314
2009-11-11,8.949997,9.000002,8.810001,8.949997,136100,3.188883
2009-11-12,9.200002,9.490004,9.000002,9.02,134300,3.213825
2009-11-13,9.049997,9.090003,8.700002,9.090003,57800,3.238767
2009-11-16,9.090003,9.100002,9.000002,9.070005,64800,3.231642
2009-11-17,9.02,9.100002,9.000002,9.080004,70400,3.235204
2009-11-18,9.100002,9.200002,8.990003,9.049997,27200,3.224513
2009-11-19,9.100002,9.249997,8.949997,9.249997,38600,3.295773
2009-11-20,9.190003,9.239998,9.180004,9.229999,44000,3.288648
2009-11-23,9.100002,9.149997,9.049997,9.100002,70600,3.24233
2009-11-24,9.139997,9.149997,9.100002,9.149997,6300,3.260143
2009-11-25,9.139997,9.249997,9.100002,9.170006,15100,3.267272
2009-11-27,9.100002,9.100002,8.949997,9.049997,29700,3.224513
2009-11-30,9.010001,9.049997,9.000002,9.049997,8100,3.224513
2009-12-01,9.02,9.390004,8.910001,9.390004,65400,3.345657
2009-12-02,9.380005,9.500002,9.380005,9.500002,29200,3.38485
2009-12-03,9.500002,9.500002,9.300002,9.300002,4900,3.31359
2009-12-04,9.239998,9.400002,9.239998,9.400002,500,3.34922
2009-12-07,9.400002,9.500002,9.359996,9.490004,15600,3.381287
2009-12-08,9.500002,10.100004,9.500002,9.900003,20500,3.52737
2009-12-09,9.890004,9.900003,9.800003,9.800003,8600,3.49174
2009-12-10,9.849998,9.849998,9.700003,9.700003,7400,3.45611
2009-12-11,9.710002,9.710002,9.710002,9.710002,200,3.459673
2009-12-14,9.749997,9.749997,9.749997,9.749997,3900,3.473923
2009-12-15,9.72,9.72,9.449997,9.600003,5200,3.42048
2009-12-16,9.669996,9.800003,9.649997,9.800003,2400,3.49174
2009-12-17,9.610001,9.610001,9.600003,9.600003,4200,3.42048
2009-12-18,9.600003,9.600003,9.400002,9.539998,7400,3.3991
2009-12-21,9.449997,9.500002,9.449997,9.500002,37300,3.38485
2009-12-22,9.500002,9.759996,9.500002,9.749997,8000,3.473923
2009-12-23,9.800003,9.800003,9.700003,9.800003,10300,3.49174
2009-12-24,9.690004,9.839999,9.249997,9.839999,12500,3.505991
2009-12-28,9.749997,9.849998,9.749997,9.800003,19600,3.49174
2009-12-29,9.710002,9.990004,9.380005,9.600003,22200,3.513702
2009-12-30,9.62,9.790004,9.62,9.790004,15800,3.583245
2009-12-31,9.749997,9.800003,9.700003,9.800003,3500,3.586904
2010-01-04,9.800003,9.849998,9.800003,9.810002,12700,3.590564
2010-01-05,9.810002,9.810002,9.800003,9.800003,9100,3.586904
2010-01-06,9.790004,9.800003,9.700003,9.700003,7100,3.550303
2010-01-07,9.769996,9.800003,9.700003,9.800003,51000,3.586904
2010-01-08,9.769996,9.83,9.749997,9.800003,7900,3.586904
2010-01-11,9.669996,9.800003,9.649997,9.749997,10000,3.568602
2010-01-12,9.780005,9.790004,9.449997,9.520001,26200,3.484421
2010-01-13,9.749997,9.749997,9.649997,9.690004,4700,3.546644
2010-01-14,9.700003,9.790004,9.700003,9.790004,2800,3.583245
2010-01-15,9.859996,9.859996,9.510001,9.700003,5000,3.550303
2010-01-19,9.690004,9.690004,9.600003,9.649997,7700,3.532001
2010-01-20,9.690004,9.690004,9.500002,9.669996,5000,3.53932
2010-01-21,9.500002,9.580005,9.380005,9.400002,45000,3.4405
2010-01-22,9.359996,9.359996,9.300002,9.359996,76400,3.425857
2010-01-25,9.400002,9.590004,9.170006,9.249997,38300,3.385596
2010-01-26,9.259996,9.349996,9.190003,9.190003,43700,3.363638
2010-01-27,9.249997,9.300002,9.100002,9.249997,18700,3.385596
2010-01-28,9.200002,9.769996,9.200002,9.249997,40000,3.385596
2010-01-29,9.369995,10.23,9.229999,9.500002,51100,3.477101
2010-02-01,9.380005,9.380005,9.000002,9.000002,18400,3.294096
2010-02-02,9.310002,9.310002,9.200002,9.200002,25800,3.367298
2010-02-03,9.100002,9.269995,9.090003,9.200002,33900,3.367298
2010-02-04,9.149997,9.149997,8.900002,9.02,46500,3.301415
2010-02-05,9.000002,9.200002,8.949997,9.12,96100,3.338016
2010-02-08,8.949997,9.090003,8.900002,9.029998,47600,3.305075
2010-02-09,8.890002,9.110001,8.890002,8.959995,38400,3.279453
2010-02-10,8.959995,9.12,8.910001,8.910001,32700,3.261154
2010-02-11,8.910001,9.049997,8.900002,9.049997,22000,3.312394
2010-02-12,9.100002,9.239998,8.980004,9.149997,42500,3.348995
