Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,32.16,33.439999,32.0,33.240002,12321100,26.32346
2006-01-04,33.369999,33.880001,33.369999,33.540001,11645500,26.561036
2006-01-05,33.709999,34.459999,33.669998,34.139999,12507300,27.036187
2006-01-06,34.5,34.66,33.849998,34.450001,11894300,27.281684
2006-01-09,34.5,34.740002,33.919998,34.18,13725700,27.067865
2006-01-10,33.93,33.950001,33.5,33.84,11397400,26.798611
2006-01-11,33.82,33.98,33.43,33.799999,11646300,26.766934
2006-01-12,33.799999,34.259998,33.299999,33.369999,12141800,26.426408
2006-01-13,33.290001,33.299999,32.610001,33.029999,12464900,26.157154
2006-01-17,32.650002,32.669998,32.130001,32.240002,13222600,25.531539
2006-01-18,31.6,32.27,31.51,32.099998,15061500,25.420667
2006-01-19,32.599998,32.799999,32.290001,32.5,10463100,25.737437
2006-01-20,32.25,32.259998,31.309999,31.66,18183100,25.072223
2006-01-23,31.99,31.99,31.110001,31.700001,17147200,25.103901
2006-01-24,31.51,32.459999,30.610001,30.690001,26164600,24.30406
2006-01-25,30.690001,30.82,29.5,29.889999,32314500,23.670522
2006-01-26,30.1,30.299999,29.52,30.16,22720900,23.884341
2006-01-27,30.200001,31.0,30.1,30.23,17204600,23.963612
2006-01-30,30.549999,30.75,29.620001,30.049999,19448400,23.820924
2006-01-31,30.059999,30.15,29.219999,29.23,17764900,23.170903
2006-02-01,29.08,29.85,28.719999,29.77,23113500,23.598967
2006-02-02,29.99,30.34,29.700001,29.76,19810000,23.591039
2006-02-03,29.91,30.360001,29.700001,30.0,14797200,23.781289
2006-02-06,30.049999,30.75,30.049999,30.540001,15849300,24.209353
2006-02-07,30.68,30.68,30.200001,30.620001,11343600,24.27277
2006-02-08,30.809999,30.9,30.360001,30.719999,10927500,24.35204
2006-02-09,30.950001,31.09,30.77,31.049999,15559300,24.613634
2006-02-10,31.0,31.129999,30.5,30.91,13192600,24.502655
2006-02-13,30.67,30.74,30.25,30.48,10626400,24.16179
2006-02-14,30.59,30.73,30.120001,30.559999,10890800,24.225206
2006-02-15,30.309999,30.639999,30.23,30.620001,9898400,24.27277
2006-02-16,30.85,31.780001,30.76,31.75,15158100,25.168531
2006-02-17,31.629999,31.85,31.299999,31.48,10154700,24.954499
2006-02-21,31.35,31.459999,30.35,30.65,14218200,24.29655
2006-02-22,30.58,31.09,30.16,31.02,12218700,24.589854
2006-02-23,30.620001,30.76,29.809999,29.860001,16360500,23.670311
