Date,Open,High,Low,Close,Volume,Adj Close
2006-02-06,34.82,34.939999,33.700001,33.900002,1940300,31.701359
2006-02-07,33.900002,33.900002,31.73,32.990002,3224600,30.850379
2006-02-08,31.459999,32.400002,30.879999,32.0,8960500,29.924585
2006-02-09,29.799999,34.98,29.51,34.5,8016600,32.262444
2006-02-10,33.919998,35.57,33.599998,34.240002,2229100,32.019308
2006-02-13,36.009998,36.220001,34.43,35.040001,4804900,32.767422
2006-02-14,34.040001,36.25,34.02,35.779999,3630300,33.459426
2006-02-15,35.200001,36.619999,35.200001,36.529999,3260600,34.160783
2006-02-16,36.040001,36.290001,35.450001,35.700001,2042100,33.384616
2006-02-17,36.110001,37.0,35.07,36.93,2265000,34.534842
2006-02-21,35.880001,36.23,35.25,35.43,2121900,33.132127
2006-02-22,35.709999,36.700001,35.34,36.080002,1659600,33.739972
2006-02-23,35.5,36.98,35.400002,36.139999,1637400,33.796078
2006-02-24,35.52,35.990002,35.450001,35.799999,1364600,33.478129
2006-02-27,35.700001,35.849998,35.200001,35.5,2381100,33.197587
2006-02-28,35.689999,36.32,35.279999,35.470001,1093400,33.169534
2006-03-01,35.259998,36.400002,35.060001,36.099998,1401600,33.758671
2006-03-02,35.650002,36.34,35.610001,36.07,1374000,33.730618
2006-03-03,36.0,36.950001,36.0,36.619999,1701600,34.244946
2006-03-06,36.43,37.200001,36.43,36.919998,753600,34.525489
2006-03-07,36.759998,38.0,36.75,37.220001,833100,34.806034
2006-03-08,37.029999,37.52,37.0,37.41,878800,34.98371
2006-03-09,37.41,37.41,37.09,37.32,776100,34.899547
2006-03-10,37.150002,38.150002,36.919998,38.139999,1517200,35.666365
2006-03-13,37.950001,38.889999,37.799999,38.220001,3228300,35.741178
2006-03-14,38.110001,39.099998,38.110001,38.990002,2658400,36.461239
2006-03-15,39.080002,39.799999,38.869999,39.57,1574200,37.00362
2006-03-16,39.310001,39.57,39.169998,39.27,568100,36.723078
2006-03-17,39.029999,39.200001,38.77,39.200001,1345500,36.657618
2006-03-20,38.759998,40.240002,38.759998,40.150002,1850900,37.546005
2006-03-21,40.779999,42.240002,40.540001,40.939999,3005000,38.284765
2006-03-22,40.650002,43.0,40.619999,42.639999,1677900,39.874509
2006-03-23,42.349998,42.73,41.509998,41.700001,1488400,38.995476
2006-03-24,41.700001,42.459999,41.400002,41.709999,612700,39.004826
2006-03-27,41.330002,42.439999,41.299999,42.310001,878400,39.565914
2006-03-28,41.98,42.220001,40.529999,40.799999,1143200,38.153846
2006-03-29,40.459999,41.0,39.549999,40.52,792200,37.892007
2006-03-30,40.5,40.77,38.5,39.009998,1274200,36.479938
2006-03-31,38.849998,40.5,38.619999,39.93,1007000,37.340272
2006-04-03,39.5,39.900002,39.0,39.130001,691800,36.592158
2006-04-04,38.869999,39.830002,38.119999,39.080002,947700,36.545402
2006-04-05,39.299999,39.400002,38.919998,39.34,677600,36.788537
2006-04-06,39.02,39.400002,38.689999,38.919998,556200,36.395775
2006-04-07,38.650002,39.32,38.48,38.82,634400,36.302262
2006-04-10,38.470001,38.75,37.209999,37.759998,1563000,35.311009
2006-04-11,37.02,38.700001,37.02,38.299999,2497400,35.815987
2006-04-12,38.07,39.279999,38.07,38.880001,2920000,36.358372
2006-04-13,38.5,40.049999,38.299999,39.43,2065600,36.8727
2006-04-17,39.330002,39.34,38.060001,38.610001,1740100,36.105883
