Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,20.860004,21.160006,20.599995,21.079996,731100,10.084045
2006-01-04,21.100006,21.280005,20.920004,21.259995,1104800,10.170151
2006-01-05,21.210001,21.379995,20.929995,21.030001,947300,10.060129
2006-01-06,21.100006,21.460005,21.049995,21.349995,688100,10.213204
2006-01-09,21.349995,22.099995,21.349995,22.08,1778900,10.562417
2006-01-10,21.960001,22.849995,21.87,22.23,1629600,10.634173
2006-01-11,22.180005,22.519996,21.99,22.409999,1464600,10.720279
2006-01-12,22.409999,22.480004,22.02,22.11,394800,10.576768
2006-01-13,22.02,22.300004,22.000005,22.270005,263900,10.65331
2006-01-17,22.099995,22.349999,21.949996,22.2,754400,10.619822
2006-01-18,22.000005,22.26,21.889996,22.02,519300,10.533715
2006-01-19,22.05,22.2,21.859995,22.030005,514400,10.538501
2006-01-20,22.000005,22.289999,21.850006,21.900001,326600,10.476311
2006-01-23,21.900001,21.900001,21.199996,21.39,1566800,10.232342
2006-01-24,21.550004,21.719999,21.400005,21.69,734600,10.375853
2006-01-25,21.719999,21.719999,21.199996,21.259995,526700,10.170151
2006-01-26,21.409995,21.409995,20.989995,21.210001,469100,10.146235
2006-01-27,21.220006,21.979995,21.220006,21.93,1138200,10.490662
2006-01-30,21.889996,22.069995,21.75,21.900001,1656200,10.476311
2006-01-31,21.649994,21.979995,21.45,21.469995,1351400,10.270609
2006-02-01,21.250005,21.640005,20.7,21.520005,1094000,10.294532
2006-02-02,21.33,21.580005,21.06,21.499995,1466000,10.28496
2006-02-03,21.48,21.649994,21.169995,21.550004,1141100,10.308883
2006-02-06,21.45,21.580005,21.150001,21.310005,1189700,10.194074
2006-02-07,21.310005,21.529994,21.079996,21.499995,869700,10.28496
2006-02-08,21.599999,21.599999,21.379995,21.499995,1263000,10.28496
2006-02-09,21.529994,21.820005,21.430005,21.670004,787800,10.366288
2006-02-10,21.649994,21.829996,21.490005,21.769996,867900,10.41412
2006-02-13,21.69,21.769996,21.310005,21.430005,786800,10.251479
2006-02-14,21.379995,21.730004,21.24,21.700005,740000,10.380639
2006-02-15,21.659999,21.960001,21.649994,21.799995,1030200,10.428471
2006-02-16,21.850006,22.189995,21.75,22.14,438000,10.59112
2006-02-17,22.14,22.660006,22.11,22.489995,744300,10.758547
