Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,55.439999,55.439999,54.18,55.02,2347600,10.266247
2006-01-04,55.099998,55.130001,54.560001,54.830002,2056800,10.230795
2006-01-05,54.830002,55.389999,54.82,55.200001,1496000,10.299833
2006-01-06,55.450001,55.950001,55.07,55.860001,1618800,10.422983
2006-01-09,56.0,58.349998,56.0,57.970001,3105200,10.816691
2006-01-10,57.82,58.0,56.919998,57.040001,2629200,10.643161
2006-01-11,57.34,57.73,56.459999,56.59,2346800,10.559195
2006-01-12,56.59,57.060001,56.57,56.669998,1854400,10.574122
2006-01-13,56.669998,56.900002,56.029999,56.310001,1822000,10.506949
2006-01-17,56.400002,56.400002,55.52,55.880001,1774000,10.426715
2006-01-18,55.400002,56.150002,55.400002,55.75,1621600,10.402458
2006-01-19,55.849998,55.950001,55.07,55.57,1563200,10.368872
2006-01-20,55.700001,56.02,55.209999,55.209999,1810000,10.301699
2006-01-23,55.150002,55.349998,54.549999,54.549999,2054000,10.178549
2006-01-24,54.549999,55.630001,54.549999,55.169998,1556800,10.294235
2006-01-25,55.169998,55.75,55.169998,55.650002,1970000,10.383799
2006-01-26,56.0,56.290001,55.630001,55.740002,1316800,10.400593
2006-01-27,55.599998,56.299999,55.59,55.84,1310000,10.419251
2006-01-30,55.900002,56.130001,55.689999,55.740002,878400,10.400593
2006-01-31,55.84,55.860001,55.27,55.48,1347600,10.352078
2006-02-01,55.07,55.900002,55.07,55.779999,1541600,10.408056
2006-02-02,55.43,55.549999,55.049999,55.150002,1773200,10.290504
2006-02-03,54.950001,55.720001,54.869999,55.459999,1967600,10.348347
2006-02-06,55.459999,55.560001,54.91,55.169998,1526400,10.294235
2006-02-07,54.950001,55.869999,54.75,55.099998,1980000,10.281174
2006-02-08,55.5,58.669998,55.450001,58.630001,4656800,10.939841
2006-02-09,58.330002,58.57,56.950001,57.310001,3835600,10.693541
2006-02-10,57.009998,57.139999,56.349998,57.110001,2608800,10.656222
2006-02-13,56.860001,57.080002,55.75,56.880001,2369200,10.613306
2006-02-14,56.68,56.919998,55.889999,56.470001,3495600,10.536804
2006-02-15,56.619999,56.68,55.599998,56.099998,3800400,10.467765
2006-02-16,55.970001,56.189999,55.889999,55.990002,2222400,10.44724
2006-02-17,55.889999,55.889999,55.18,55.279999,2689600,10.31476
2006-02-21,55.279999,55.330002,54.66,55.110001,2325200,10.28304
2006-02-22,55.099998,56.27,55.060001,55.900002,2200800,10.430447
2006-02-23,55.650002,56.700001,55.599998,56.150002,2792400,10.477095
2006-02-24,56.0,56.580002,55.709999,56.23,1714400,10.492022
2006-02-27,56.400002,56.540001,55.09,55.290001,2611600,10.316626
2006-02-28,55.220001,55.490002,54.549999,54.799999,2521600,10.225196
2006-03-01,54.84,55.200001,54.610001,55.02,1425200,10.266247
2006-03-02,54.77,54.790001,54.27,54.560001,1775200,10.180415
2006-03-03,54.16,54.720001,53.900002,54.560001,2732800,10.180415
2006-03-06,54.380001,54.529999,54.0,54.009998,1780000,10.077789
2006-03-07,54.0,54.34,53.740002,54.119999,2348000,10.098314
2006-03-08,53.700001,54.02,53.610001,53.790001,1332000,10.090811
2006-03-09,53.790001,53.849998,53.279999,53.66,2044800,10.066423
2006-03-10,53.650002,54.709999,53.5,54.580002,3436400,10.239012
2006-03-13,54.580002,54.880001,54.459999,54.700001,1736800,10.261524
2006-03-14,53.950001,54.700001,53.919998,54.310001,2348400,10.188361
2006-03-15,54.310001,55.43,54.25,55.43,2230400,10.398469
2006-03-16,55.599998,55.860001,55.220001,55.299999,2193600,10.374081
2006-03-17,55.669998,55.869999,55.27,55.869999,2262800,10.481011
2006-03-20,55.970001,56.189999,55.57,55.990002,1864000,10.503523
2006-03-21,55.990002,56.380001,55.889999,56.349998,3239600,10.571057
2006-03-22,55.389999,56.700001,55.389999,56.619999,1162000,10.621709
2006-03-23,56.369999,56.619999,56.16,56.16,1402800,10.535414
2006-03-24,56.16,56.189999,55.66,56.040001,2119600,10.512903
2006-03-27,56.040001,56.189999,55.580002,55.82,1879600,10.471632
2006-03-28,56.07,56.919998,55.82,56.27,1547600,10.55605
2006-03-29,56.5,56.5,56.0,56.07,890800,10.518531
2006-03-30,56.400002,56.799999,56.139999,56.700001,1562400,10.636717
2006-03-31,56.84,57.139999,56.68,56.900002,1797600,10.674236
2006-04-03,56.91,57.189999,56.630001,56.779999,1798400,10.651724
2006-04-04,56.709999,57.220001,56.41,57.0,1594800,10.692995
2006-04-05,57.139999,57.34,56.740002,57.029999,894000,10.698623
2006-04-06,56.869999,57.599998,56.709999,57.48,1453600,10.783042
2006-04-07,57.73,57.970001,57.099998,57.25,1658400,10.739895
2006-04-10,57.349998,57.450001,56.91,57.099998,1992400,10.711755
2006-04-11,57.150002,57.27,56.560001,56.709999,1056400,10.638592
2006-04-12,56.939999,56.939999,56.5,56.66,666400,10.629213
2006-04-13,56.259998,56.709999,55.990002,56.060001,1242400,10.516655
2006-04-17,57.02,61.48,57.02,61.0,8348800,11.443381
2006-04-18,61.0,62.189999,60.740002,61.790001,5108400,11.591582
2006-04-19,61.919998,62.349998,61.5,62.040001,1790800,11.638481
2006-04-20,62.040001,62.310001,61.490002,62.07,1760400,11.644109
2006-04-21,62.310001,62.369999,61.84,62.16,1493600,11.660993
2006-04-24,62.169998,63.16,61.91,63.0,2591200,11.818574
2006-04-25,62.810001,62.889999,61.41,62.07,3270400,11.644109
2006-04-26,62.27,63.349998,62.27,62.990002,3344800,11.816698
2006-04-27,62.790001,62.82,61.990002,62.299999,1875600,11.687256
2006-04-28,60.0,61.549999,60.0,61.189999,3702800,11.479024
2006-05-01,61.200001,61.650002,60.950001,61.5,2474000,11.537179
2006-05-02,61.75,61.75,61.0,61.599998,2722000,11.555939
2006-05-03,61.880001,62.0,61.619999,61.73,1835200,11.580326
2006-05-04,61.599998,62.25,61.599998,62.029999,2313600,11.636605
2006-05-05,62.23,62.459999,61.669998,62.400002,2265200,11.706016
2006-05-08,62.790001,63.150002,62.580002,63.029999,2666400,11.824202
2006-05-09,63.130001,63.130001,62.48,62.48,1152800,11.721024
2006-05-10,62.669998,62.880001,62.0,62.450001,1804400,11.715396
2006-05-11,62.349998,62.5,61.5,61.759998,1235200,11.585954
2006-05-12,61.860001,61.860001,60.400002,60.48,1959600,11.345831
2006-05-15,61.16,61.389999,60.57,61.34,2292800,11.507164
2006-05-16,63.0,63.0,61.599998,61.830002,1947600,11.599086
2006-05-17,61.810001,61.869999,61.150002,61.5,2244000,11.537179
2006-05-18,61.599998,62.290001,61.400002,61.77,2428400,11.58783
2006-05-19,62.27,62.5,62.0,62.360001,3296400,11.698512
2006-05-22,62.360001,62.529999,61.709999,62.240002,2577600,11.676001
2006-05-23,62.34,63.189999,62.34,62.939999,2869600,11.807318
2006-05-24,62.84,63.150002,62.639999,62.880001,2993200,11.796062
2006-05-25,62.98,63.200001,61.849998,62.540001,1872000,11.73228
2006-05-26,62.5,63.25,62.400002,63.080002,1547200,11.833582
2006-05-30,63.080002,63.16,62.150002,62.220001,1542400,11.672249
2006-05-31,62.220001,63.09,62.049999,62.93,1363600,11.805442
2006-06-01,62.84,64.720001,62.810001,64.720001,3077600,12.14124
2006-06-02,64.709999,64.900002,63.84,64.440002,2057200,12.088713
2006-06-05,64.07,64.510002,63.23,63.240002,1376800,11.863597
2006-06-06,63.240002,64.489998,63.240002,64.459999,2254400,12.092464
2006-06-07,64.209999,64.699997,64.099998,64.309998,2440800,12.168148
2006-06-08,64.309998,64.709999,62.959999,64.489998,2673600,12.202206
2006-06-09,64.510002,65.089996,64.25,64.980003,2425600,12.294921
2006-06-12,64.75,64.790001,63.529999,63.540001,2264400,12.022456
2006-06-13,63.5,63.59,62.509998,62.560001,2142800,11.83703
2006-06-14,62.310001,62.849998,62.209999,62.799999,2067600,11.88244
2006-06-15,63.0,64.43,63.0,64.099998,2480400,12.128414
2006-06-16,64.620003,66.599998,64.620003,65.519997,5128000,12.397093
2006-06-19,65.519997,65.68,64.739998,65.169998,2468400,12.33087
2006-06-20,65.169998,65.989998,65.169998,65.620003,3044800,12.416015
2006-06-21,65.57,66.639999,65.480003,65.889999,2682800,12.467102
2006-06-22,65.959999,66.239998,65.25,65.760002,2446800,12.442505
2006-06-23,65.660004,66.019997,65.220001,65.639999,2337200,12.419799
2006-06-26,65.889999,66.580002,65.879997,66.580002,2449200,12.597658
2006-06-27,66.330002,66.519997,65.510002,65.610001,2342400,12.414123
2006-06-28,65.900002,66.0,65.260002,65.830002,1616000,12.455749
2006-06-29,66.629997,67.519997,66.209999,67.410004,2300000,12.754703
2006-06-30,67.410004,67.970001,67.410004,67.919998,1911600,12.851199
2006-07-03,68.099998,68.169998,67.199997,67.25,829600,12.724428
2006-07-05,67.5,68.0,66.739998,67.949997,2293600,12.856875
2006-07-06,67.949997,68.0,67.400002,67.709999,2130400,12.811465
2006-07-07,67.760002,68.230003,67.410004,67.669998,2257200,12.803897
2006-07-10,67.650002,67.980003,66.980003,67.540001,1531200,12.7793
2006-07-11,67.290001,67.309998,66.269997,66.940002,1479200,12.665774
2006-07-12,67.190002,67.510002,65.910004,66.440002,1001200,12.571168
2006-07-13,66.190002,66.190002,65.190002,65.410004,2404800,12.376281
2006-07-14,65.290001,65.43,63.27,63.82,3255200,12.075435
2006-07-17,63.720001,65.900002,63.720001,65.589996,2751600,12.410338
2006-07-18,64.389999,64.720001,62.16,63.93,5483600,12.096249
2006-07-19,67.580002,68.580002,66.150002,67.879997,7202000,12.843631
2006-07-20,67.800003,68.610001,66.889999,67.57,3490800,12.784976
2006-07-21,67.989998,68.129997,67.199997,67.75,2485600,12.819034
2006-07-24,67.75,69.279999,67.75,68.760002,2538400,13.010137
2006-07-25,68.510002,70.07,68.25,69.949997,3047600,13.235297
2006-07-26,69.900002,69.900002,67.699997,67.879997,3456400,12.843631
2006-07-27,68.5,68.5,66.699997,67.050003,3104400,12.686587
2006-07-28,67.75,68.419998,67.379997,68.260002,2104800,12.915532
2006-07-31,68.480003,68.480003,67.610001,67.82,1653200,12.832279
2006-08-01,67.470001,67.730003,66.610001,67.540001,2000400,12.7793
2006-08-02,67.699997,67.800003,67.129997,67.510002,1661600,12.773624
2006-08-03,67.510002,69.220001,67.370003,68.949997,2028400,13.046086
2006-08-04,69.099998,70.0,68.699997,69.209999,1722400,13.095282
2006-08-07,69.309998,69.379997,68.440002,69.199997,1176800,13.093389
2006-08-08,69.839996,70.0,68.769997,68.910004,1744000,13.038519
2006-08-09,69.0,69.040001,66.690002,66.739998,2663600,12.627931
2006-08-10,66.589996,67.849998,66.230003,67.510002,2093200,12.773624
2006-08-11,67.519997,67.639999,66.809998,67.25,1176000,12.724428
2006-08-14,67.75,68.720001,67.459999,67.860001,1042800,12.839847
2006-08-15,68.010002,69.440002,67.93,69.400002,1956400,13.131232
2006-08-16,69.599998,70.150002,68.959999,70.110001,1611600,13.265572
2006-08-17,69.610001,69.82,68.739998,69.07,1740000,13.068792
