Date,Open,High,Low,Close,Volume,Adj Close
2014-10-02,21.0,21.379999,20.780001,21.049999,9936000,21.049999
2014-10-03,21.0,21.15,20.704,21.0,1627700,21.0
2014-10-06,21.0,21.08,20.799999,21.0,932700,21.0
2014-10-07,21.0,21.67,20.92,21.559999,692600,21.559999
2014-10-08,21.459999,22.030001,21.450001,21.73,772300,21.73
2014-10-09,21.459999,22.09,21.41,21.5,734500,21.5
2014-10-10,21.459999,21.75,20.870001,21.33,1203700,21.33
2014-10-13,21.5,21.59,20.780001,20.950001,527700,20.950001
2014-10-14,20.870001,21.35,20.799999,20.98,448200,20.98
2014-10-15,20.709999,21.08,20.6,20.950001,688600,20.950001
2014-10-16,20.629999,21.49,20.629999,21.07,417400,21.07
2014-10-17,21.290001,21.290001,20.736,21.049999,282800,21.049999
2014-10-20,21.07,21.1,20.799999,21.059999,148500,21.059999
2014-10-21,20.860001,21.48,20.860001,21.225,257700,21.225
2014-10-22,21.34,21.82,20.92,21.5,292900,21.5
2014-10-23,21.200001,21.9,21.200001,21.610001,159300,21.610001
2014-10-24,21.6,22.299999,21.6,22.07,308300,22.07
2014-10-27,21.879999,22.049999,21.219999,21.73,153600,21.73
2014-10-28,21.700001,22.0,21.625999,21.84,382400,21.84
2014-10-29,21.76,22.24,21.6,21.889999,271600,21.889999
2014-10-30,21.98,22.216999,21.75,22.16,171200,22.16
2014-10-31,22.16,22.360001,22.08,22.32,144500,22.32
2014-11-03,22.280001,22.51,22.15,22.49,187700,22.49
2014-11-04,22.360001,23.0,22.23,22.65,288300,22.65
2014-11-05,22.700001,23.184999,22.209999,22.889999,246800,22.889999
2014-11-06,23.08,23.097,22.41,22.9,145100,22.9
2014-11-07,22.9,23.860001,21.48,21.940001,285200,21.940001
2014-11-10,21.870001,22.870001,21.698999,22.5,368400,22.5
2014-11-11,23.030001,23.75,22.870001,23.0,751100,23.0
2014-11-12,22.709999,23.67,22.700001,23.18,714600,23.18
2014-11-13,23.0,24.98,22.879999,24.280001,809300,24.280001
2014-11-14,24.5,25.059999,24.200001,24.51,926500,24.51
2014-11-17,24.65,25.73,24.575001,24.940001,610200,24.940001
2014-11-18,25.0,26.190001,24.77,25.559999,511600,25.559999
2014-11-19,25.42,25.6,24.860001,25.07,265800,25.07
2014-11-20,25.0,25.65,24.782,25.549999,199400,25.549999
2014-11-21,25.76,26.040001,25.440001,25.799999,315300,25.799999
2014-11-24,25.950001,26.4,25.620001,26.24,321300,26.24
2014-11-25,26.360001,26.48,25.635,25.809999,200800,25.809999
2014-11-26,26.030001,26.48,25.65,26.07,195700,26.07
2014-11-28,26.18,26.950001,26.17,26.809999,179100,26.809999
2014-12-01,27.0,27.129999,26.139999,26.42,413500,26.42
2014-12-02,26.200001,26.99,26.0,26.84,890300,26.84
2014-12-03,26.93,27.139999,26.459999,26.950001,163700,26.950001
2014-12-04,26.98,27.09,26.41,26.5,189500,26.5
2014-12-05,26.6,27.0,26.545,26.809999,197900,26.809999
2014-12-08,26.76,27.0,25.040001,26.48,330700,26.48
2014-12-09,26.200001,26.450001,25.58,25.66,196100,25.66
2014-12-10,25.530001,25.98,24.25,24.49,268000,24.49
2014-12-11,24.629999,25.264999,24.290001,24.77,291000,24.77
2014-12-12,24.58,25.07,23.799999,24.4,225600,24.4
2014-12-15,24.370001,25.559999,23.659,25.209999,573200,25.209999
2014-12-16,24.93,25.360001,24.299999,25.0,366400,25.0
2014-12-17,24.969999,26.59,24.74,26.08,610000,26.08
2014-12-18,26.290001,26.610001,25.48,26.32,622200,26.32
2014-12-19,26.280001,26.709999,25.549999,25.68,3416600,25.68
2014-12-22,25.6,25.690001,25.200001,25.549999,685900,25.549999
2014-12-23,25.5,26.643999,25.195999,26.030001,317900,26.030001
2014-12-24,25.969999,26.559999,25.559999,25.67,74700,25.67
2014-12-26,25.809999,26.33,25.620001,25.879999,145400,25.879999
2014-12-29,25.940001,26.32,25.370001,25.74,138200,25.74
2014-12-30,25.85,26.219999,25.68,26.040001,140600,26.040001
2014-12-31,26.030001,26.18,25.83,25.870001,232300,25.870001
