Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.950001,27.25,26.059999,27.059999,576800,13.224334
2006-01-04,27.25,27.67,26.870001,27.65,943600,13.512669
2006-01-05,27.9,27.9,27.1,27.15,721400,13.268317
2006-01-06,27.16,27.67,26.700001,27.370001,482000,13.375833
2006-01-09,27.25,27.459999,26.959999,27.07,556200,13.229221
2006-01-10,26.870001,27.41,26.799999,27.309999,537800,13.34651
2006-01-11,27.559999,28.35,27.5,28.030001,896800,13.698378
2006-01-12,27.9,28.459999,27.43,28.32,1139800,13.840101
2006-01-13,28.370001,28.4,27.709999,27.98,545400,13.673942
2006-01-17,28.0,28.200001,27.41,28.139999,641000,13.752134
2006-01-18,27.99,27.99,27.6,27.860001,756600,13.615298
2006-01-19,27.9,28.290001,27.559999,28.200001,1643200,13.781457
2006-01-20,28.209999,28.209999,27.700001,27.9,1052400,13.634845
2006-01-23,27.969999,28.219999,27.66,28.209999,553200,13.786343
2006-01-24,28.35,30.15,28.139999,29.790001,1478400,14.558497
2006-01-25,30.200001,31.0,29.5,30.0,1286800,14.661124
2006-01-26,30.15,30.9,30.0,30.82,900200,15.061862
2006-01-27,31.5,31.950001,31.309999,31.549999,1335600,15.418615
2006-01-30,31.75,31.91,31.190001,31.52,637600,15.403955
2006-01-31,31.5,31.799999,30.690001,31.57,1229600,15.42839
2006-02-01,31.459999,32.439999,31.139999,32.34,1103400,15.804692
2006-02-02,32.400002,32.400002,31.620001,32.0,1309400,15.638533
2006-02-03,32.0,32.560001,31.549999,32.130001,520800,15.702065
2006-02-06,32.130001,32.439999,31.58,32.0,625800,15.638533
2006-02-07,32.049999,32.400002,31.15,31.25,736800,15.272005
2006-02-08,31.24,31.24,30.5,31.0,1442000,15.149828
2006-02-09,31.0,31.15,30.700001,30.879999,841800,15.091184
2006-02-10,30.67,30.84,30.15,30.58,1092000,14.949414
2006-02-13,30.440001,30.74,29.99,30.27,885800,14.797867
2006-02-14,30.4,31.799999,30.1,31.42,939000,15.360058
2006-02-15,31.309999,32.299999,31.25,32.23,585800,15.756037
2006-02-16,32.400002,32.75,32.189999,32.57,972200,15.92225
2006-02-17,32.5,32.630001,32.150002,32.5,367800,15.88803
2006-02-21,32.630001,33.919998,32.599998,33.779999,1064000,16.513773
2006-02-22,33.0,33.189999,31.299999,33.0,1849200,16.132461
2006-02-23,32.990002,33.98,32.529999,33.450001,1301000,16.352449
2006-02-24,32.950001,33.630001,32.5,33.34,511400,16.298674
2006-02-27,33.400002,34.110001,33.25,33.669998,808400,16.459998
2006-02-28,33.599998,33.740002,33.02,33.029999,736800,16.147126
2006-03-01,33.099998,33.650002,32.75,33.400002,703400,16.328007
2006-03-02,33.450001,33.689999,32.880001,33.18,410000,16.220456
2006-03-03,33.0,33.470001,32.650002,33.279999,647600,16.269342
2006-03-06,32.5,33.43,32.25,32.689999,578400,15.980913
2006-03-07,32.549999,32.560001,31.139999,31.4,926000,15.350281
2006-03-08,31.15,31.200001,29.120001,30.15,1572400,14.739203
2006-03-09,30.200001,30.889999,30.1,30.790001,1034200,15.052075
2006-03-10,31.0,31.65,30.58,31.379999,610600,15.340503
2006-03-13,32.330002,32.330002,31.02,31.33,888200,15.316061
2006-03-14,31.309999,31.5,31.049999,31.43,593000,15.364947
2006-03-15,32.0,33.049999,31.969999,32.91,1983000,16.088463
2006-03-16,33.0,33.400002,32.560001,32.880001,754800,16.073798
2006-03-17,32.68,32.950001,31.92,32.59,1364200,15.932027
2006-03-20,32.689999,33.099998,32.529999,32.779999,1092600,16.024911
2006-03-21,32.599998,32.830002,31.75,31.809999,731400,15.550714
2006-03-22,31.75,32.639999,31.629999,32.540001,1143200,15.907585
2006-03-23,32.540001,32.630001,32.080002,32.330002,671200,15.804924
2006-03-24,32.259998,32.48,32.02,32.25,502000,15.765814
2006-03-27,32.150002,32.490002,31.940001,32.049999,519600,15.668041
2006-03-28,31.91,32.790001,31.73,32.529999,499200,15.902695
2006-03-29,32.599998,32.990002,32.360001,32.799999,697400,16.034688
2006-03-30,32.799999,32.990002,32.119999,32.450001,386200,15.863587
2006-03-31,32.459999,32.75,31.91,32.599998,517400,15.936915
2006-04-03,32.799999,33.68,32.799999,33.450001,836200,16.352449
2006-04-04,33.549999,33.779999,33.099998,33.529999,512200,16.391558
2006-04-05,33.349998,33.91,32.990002,33.73,713000,16.48933
2006-04-06,33.790001,33.900002,33.450001,33.639999,737000,16.445333
2006-04-07,33.889999,34.0,32.5,32.849998,1047800,16.059131
2006-04-10,33.450001,33.779999,33.0,33.290001,588000,16.274232
2006-04-11,33.25,33.509998,32.630001,33.0,577000,16.132461
2006-04-12,33.099998,34.09,33.099998,33.939999,867200,16.591991
2006-04-13,34.049999,35.450001,34.040001,35.099998,1679600,17.159071
2006-04-17,35.450001,36.0,35.080002,35.369999,978600,17.291065
2006-04-18,35.75,36.330002,35.610001,35.799999,802400,17.501276
2006-04-19,36.0,37.869999,35.939999,37.799999,1346800,18.479
2006-04-20,37.650002,37.650002,36.860001,37.040001,966600,18.107466
2006-04-21,37.799999,37.919998,37.040001,37.860001,736400,18.508333
2006-04-24,37.900002,37.900002,37.060001,37.490002,838000,18.327454
2006-04-25,38.900002,39.52,38.279999,39.299999,2006800,19.212294
2006-04-26,39.200001,40.080002,39.080002,39.700001,1203800,19.40784
2006-04-27,39.799999,39.799999,37.360001,37.540001,1233200,18.351897
2006-04-28,37.200001,37.200001,36.009998,36.529999,1665800,17.858145
2006-05-01,36.75,37.66,36.709999,37.150002,652000,18.161241
2006-05-02,37.25,37.25,36.599998,37.150002,460800,18.161241
2006-05-03,37.400002,37.41,36.639999,37.150002,520600,18.161241
2006-05-04,37.5,38.5,37.32,38.299999,897800,18.723432
2006-05-05,38.549999,38.880001,38.080002,38.169998,539200,18.659879
2006-05-08,38.419998,38.59,37.689999,37.810001,491000,18.48389
2006-05-09,37.810001,39.91,37.099998,39.73,992000,19.422505
2006-05-10,40.060001,40.060001,39.150002,39.450001,705600,19.29048
2006-05-11,39.400002,39.490002,38.139999,38.169998,643800,18.664577
2006-05-12,37.919998,37.919998,36.400002,36.759998,876000,17.975108
2006-05-15,36.400002,37.0,35.700001,36.68,675400,17.93599
2006-05-16,38.599998,39.200001,37.439999,37.450001,2038200,18.312509
2006-05-17,37.25,37.43,36.029999,36.27,1196400,17.735506
2006-05-18,36.669998,36.93,35.240002,35.330002,708400,17.27586
2006-05-19,35.150002,35.68,34.119999,34.57,1413400,16.90423
2006-05-22,34.32,34.709999,32.68,34.32,1341000,16.781984
2006-05-23,34.75,35.57,34.310001,34.400002,1286000,16.821103
2006-05-24,34.549999,35.41,33.599998,34.580002,957000,16.909121
2006-05-25,34.700001,35.049999,34.130001,34.77,1384600,17.002027
2006-05-26,35.0,35.509998,35.0,35.5,562800,17.358987
2006-05-30,35.599998,35.700001,34.360001,34.360001,820200,16.801543
2006-05-31,34.400002,35.400002,34.380001,34.970001,1112200,17.099825
2006-06-01,35.220001,35.889999,34.860001,35.369999,965600,17.295418
2006-06-02,36.330002,36.330002,35.25,36.18,1155000,17.691497
2006-06-05,35.93,36.5,34.57,34.73,1164200,16.982468
2006-06-06,34.700001,34.759998,33.040001,33.5,1418600,16.381016
2006-06-07,33.48,34.709999,33.09,33.099998,781000,16.185421
2006-06-08,32.700001,32.939999,30.84,32.77,1692800,16.024056
2006-06-09,32.799999,33.610001,32.099998,32.310001,788000,15.799123
2006-06-12,32.310001,33.310001,31.139999,31.219999,1299400,15.266128
2006-06-13,30.75,31.85,30.530001,30.870001,1176000,15.094984
2006-06-14,31.120001,32.349998,31.07,32.07,1265600,15.681766
2006-06-15,32.5,34.59,32.5,34.389999,1471600,16.816212
2006-06-16,34.330002,34.419998,33.529999,33.939999,1849400,16.596169
2006-06-19,34.060001,34.23,32.790001,33.110001,879800,16.190311
2006-06-20,33.5,34.360001,33.439999,33.509998,1146800,16.385905
2006-06-21,33.400002,34.610001,33.400002,34.380001,817200,16.811323
2006-06-22,34.18,34.599998,34.029999,34.459999,808800,16.850441
2006-06-23,34.459999,34.91,34.099998,34.580002,516000,16.909121
2006-06-26,34.779999,35.0,34.59,34.849998,428200,17.041145
2006-06-27,34.93,35.400002,34.41,34.630001,1006800,16.93357
2006-06-28,34.700001,35.0,33.950001,34.66,791400,16.948239
