Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,18.129999,18.280001,17.75,17.940001,103700,17.940001
2013-01-03,17.93,18.120001,17.51,17.700001,123400,17.700001
2013-01-04,17.690001,17.780001,17.5,17.5,100200,17.5
2013-01-07,17.5,17.65,17.32,17.41,127100,17.41
2013-01-08,17.549999,18.129999,17.549999,18.07,351000,18.07
2013-01-09,18.17,18.27,18.040001,18.1,95100,18.1
2013-01-10,18.139999,18.200001,17.969999,18.16,42500,18.16
2013-01-11,18.190001,18.48,18.049999,18.379999,193400,18.379999
2013-01-14,18.389999,18.389999,17.940001,18.129999,85400,18.129999
2013-01-15,18.049999,18.219999,17.57,18.030001,402300,18.030001
2013-01-16,18.0,18.4,17.889999,18.34,394900,18.34
2013-01-17,18.48,18.940001,18.370001,18.57,254400,18.57
2013-01-18,18.5,18.889999,18.5,18.809999,98100,18.809999
2013-01-22,18.75,18.799999,18.5,18.75,512300,18.75
2013-01-23,18.709999,19.030001,18.690001,18.959999,658300,18.959999
2013-01-24,18.969999,19.16,18.82,19.08,180000,19.08
2013-01-25,19.17,19.559999,19.0,19.540001,286100,19.540001
2013-01-28,19.639999,19.889999,19.16,19.639999,155600,19.639999
2013-01-29,19.73,19.73,19.200001,19.43,131200,19.43
2013-01-30,19.49,19.799999,19.299999,19.74,140400,19.74
2013-01-31,19.700001,20.1,19.66,19.959999,179800,19.959999
2013-02-01,19.969999,20.290001,19.51,20.200001,118000,20.200001
2013-02-04,20.17,20.34,19.43,19.5,176900,19.5
2013-02-05,19.5,20.02,19.459999,19.91,199800,19.91
2013-02-06,19.76,20.9,19.76,20.780001,201800,20.780001
2013-02-07,20.799999,21.0,20.58,20.93,234400,20.93
2013-02-08,21.030001,21.4,20.92,21.25,90600,21.25
2013-02-11,21.25,21.33,20.639999,20.74,32200,20.74
2013-02-12,20.74,21.389999,20.66,21.17,59800,21.17
2013-02-13,21.16,21.540001,21.110001,21.469999,155200,21.469999
2013-02-14,21.389999,22.59,21.389999,22.299999,186700,22.299999
2013-02-15,22.24,22.24,21.02,22.15,157000,22.15
2013-02-19,22.110001,22.209999,21.23,21.42,86500,21.42
2013-02-20,21.49,21.98,21.030001,21.25,285100,21.25
2013-02-21,21.440001,22.84,21.440001,22.809999,337000,22.809999
2013-02-22,23.0,23.82,22.799999,23.76,197500,23.76
2013-02-25,23.870001,24.84,23.43,23.52,263500,23.52
2013-02-26,23.530001,23.530001,22.34,22.98,198200,22.98
2013-02-27,22.889999,23.690001,22.77,23.43,67000,23.43
2013-02-28,23.469999,23.85,23.43,23.610001,140100,23.610001
2013-03-01,23.440001,23.75,23.030001,23.200001,209100,23.200001
2013-03-04,23.200001,23.84,23.200001,23.799999,131400,23.799999
2013-03-05,23.809999,23.91,23.549999,23.889999,110700,23.889999
2013-03-06,23.889999,23.99,23.6,23.76,28000,23.76
2013-03-07,23.75,23.75,23.41,23.700001,144200,23.700001
2013-03-08,23.709999,24.4,23.530001,24.26,72600,24.26
2013-03-11,24.290001,24.559999,23.879999,24.01,77600,24.01
2013-03-12,23.860001,24.33,23.620001,24.07,198000,24.07
2013-03-13,24.0,24.4,23.610001,24.0,3738600,24.0
2013-03-14,24.0,26.030001,23.959999,25.92,942700,25.92
2013-03-15,26.200001,26.25,24.440001,25.48,224000,25.48
2013-03-18,25.129999,25.559999,24.93,25.23,208400,25.23
2013-03-19,25.299999,25.549999,25.25,25.440001,110100,25.440001
2013-03-20,25.440001,25.5,24.940001,25.02,191800,25.02
2013-03-21,24.940001,25.639999,24.93,25.469999,187300,25.469999
2013-03-22,25.389999,25.77,25.290001,25.719999,271900,25.719999
