Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,30.0,30.16,29.6,30.16,28700,30.16
2006-01-04,30.0,30.1,29.75,30.09,14700,30.09
2006-01-05,30.0,30.0,29.85,29.85,16400,29.85
2006-01-06,30.0,30.02,29.74,29.76,23400,29.76
2006-01-09,29.860001,29.92,29.360001,29.370001,9100,29.370001
2006-01-10,29.370001,29.43,29.059999,29.219999,32600,29.219999
2006-01-11,29.219999,29.219999,28.5,28.6,26600,28.6
2006-01-12,28.51,28.76,28.51,28.6,24000,28.6
2006-01-13,28.75,28.75,28.450001,28.610001,12000,28.610001
2006-01-17,28.700001,29.0,28.700001,28.85,18700,28.85
2006-01-18,28.950001,29.049999,28.75,29.0,130600,29.0
2006-01-19,29.42,31.59,29.42,31.26,92300,31.26
2006-01-20,31.35,31.35,30.76,30.9,24500,30.9
2006-01-23,30.77,31.4,30.77,31.1,17900,31.1
2006-01-24,30.9,31.040001,30.59,30.73,16300,30.73
2006-01-25,30.780001,31.09,30.780001,30.959999,15000,30.959999
2006-01-26,30.6,31.25,30.58,31.24,20000,31.24
2006-01-27,31.200001,31.389999,31.15,31.309999,30800,31.309999
2006-01-30,31.4,31.42,31.209999,31.25,34600,31.25
2006-01-31,31.299999,31.75,31.26,31.6,56900,31.6
2006-02-01,31.75,33.200001,31.549999,32.970001,61500,32.970001
2006-02-02,33.0,33.0,32.700001,32.889999,11900,32.889999
2006-02-03,33.099998,33.799999,32.799999,33.360001,62600,33.360001
2006-02-06,33.259998,33.259998,32.950001,33.049999,47300,33.049999
2006-02-07,33.049999,33.150002,32.849998,33.0,37900,33.0
2006-02-08,33.25,33.290001,32.900002,32.919998,58900,32.919998
2006-02-09,33.02,33.139999,32.91,32.950001,6700,32.950001
2006-02-10,32.900002,33.060001,32.450001,32.98,48400,32.98
2006-02-13,33.099998,33.25,32.849998,32.849998,44400,32.849998
2006-02-14,33.0,33.099998,32.98,33.040001,76700,33.040001
2006-02-15,33.009998,33.549999,33.0,33.549999,18700,33.549999
2006-02-16,33.650002,33.650002,33.049999,33.389999,21300,33.389999
2006-02-17,33.290001,33.299999,33.099998,33.119999,18300,33.119999
2006-02-21,33.009998,33.25,32.970001,33.099998,23200,33.099998
2006-02-22,33.099998,33.5,32.970001,33.459999,32000,33.459999
2006-02-23,33.360001,33.59,33.310001,33.549999,38400,33.549999
2006-02-24,33.490002,33.700001,33.41,33.700001,54400,33.700001
2006-02-27,33.650002,34.0,33.5,34.0,78900,34.0
