Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,43.549999,43.790001,42.240002,43.619999,965200,33.837441
2006-01-04,43.400002,43.400002,42.52,42.68,1205600,33.108254
2006-01-05,42.549999,42.900002,42.07,42.18,1102100,32.720388
2006-01-06,42.400002,42.580002,42.150002,42.48,910600,32.953107
2006-01-09,42.48,43.720001,42.43,43.540001,1459000,33.775384
2006-01-10,43.400002,44.490002,43.25,44.369999,819700,34.41924
2006-01-11,44.400002,45.139999,43.919998,45.09,1066500,34.977769
2006-01-12,45.0,45.009998,43.349998,43.459999,2717300,33.713324
2006-01-13,43.52,43.52,41.830002,41.860001,1864700,32.472154
2006-01-17,41.860001,41.93,41.419998,41.830002,1349400,32.448883
2006-01-18,41.790001,42.349998,41.580002,41.990002,1473600,32.573
2006-01-19,42.349998,42.349998,41.740002,41.799999,828500,32.425609
2006-01-20,41.77,41.77,40.849998,40.959999,759100,31.773993
2006-01-23,40.950001,40.959999,40.32,40.509998,1148600,31.424913
2006-01-24,40.639999,40.889999,40.380001,40.68,1118200,31.556789
2006-01-25,40.75,40.799999,40.299999,40.540001,840500,31.448187
2006-01-26,40.799999,41.080002,40.66,40.84,909100,31.680906
2006-01-27,40.900002,41.279999,40.5,40.619999,1113400,31.510244
2006-01-30,40.549999,41.0,39.810001,40.02,1666500,31.044806
2006-01-31,39.849998,40.009998,39.560001,39.779999,1148000,30.858629
2006-02-01,39.849998,39.91,39.540001,39.630001,748300,30.742271
2006-02-02,39.599998,39.669998,38.98,39.09,1329400,30.323375
2006-02-03,38.900002,39.25,38.599998,38.77,1290400,30.075141
2006-02-06,38.779999,39.16,38.709999,39.099998,828500,30.331131
2006-02-07,39.099998,39.220001,38.41,38.509998,1186600,29.873449
2006-02-08,38.610001,38.799999,38.099998,38.529999,710900,29.888964
2006-02-09,38.630001,39.279999,38.599998,38.959999,909700,30.222529
2006-02-10,38.93,39.099998,38.119999,38.400002,1083200,29.788121
2006-02-13,38.41,38.57,38.18,38.43,778100,29.811392
2006-02-14,38.689999,39.299999,38.439999,39.200001,855300,30.408706
2006-02-15,39.200001,39.810001,39.07,39.709999,853600,30.804328
2006-02-16,39.93,40.02,39.75,39.880001,571700,30.936204
2006-02-17,39.919998,39.93,39.330002,39.799999,673300,30.874144
2006-02-21,39.810001,40.0,39.23,39.450001,412200,30.602639
2006-02-22,39.419998,40.0,39.02,39.869999,435300,30.928445
2006-02-23,39.669998,40.349998,39.419998,39.77,402700,30.850873
2006-02-24,39.869999,39.91,39.5,39.84,505000,30.905174
2006-02-27,40.0,40.57,39.919998,40.419998,446200,31.355097
2006-02-28,40.330002,40.779999,40.220001,40.490002,811000,31.409401
2006-03-01,40.490002,40.869999,40.189999,40.82,462400,31.665391
2006-03-02,40.740002,40.75,40.16,40.41,646100,31.347341
