Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,14.66,14.94,14.6,14.91,3532600,7.946254
2006-01-04,14.81,14.94,14.74,14.89,3139600,7.935595
2006-01-05,14.87,14.91,14.7,14.73,2285500,7.850323
2006-01-06,14.79,14.91,14.63,14.64,3040100,7.802358
2006-01-09,14.69,14.97,14.69,14.84,3518500,7.908948
2006-01-10,14.72,14.84,14.65,14.76,6131400,7.866312
2006-01-11,14.69,15.15,14.66,15.12,3206500,8.058173
2006-01-12,15.12,15.52,15.12,15.34,6159200,8.175422
2006-01-13,15.78,15.78,14.97,15.0,3364100,7.994219
2006-01-17,14.86,14.89,14.57,14.63,3880500,7.797029
2006-01-18,14.63,14.85,14.53,14.65,2782000,7.807687
2006-01-19,14.6,14.71,14.58,14.65,4113300,7.807687
2006-01-20,14.65,14.71,14.26,14.29,5288100,7.615826
2006-01-23,14.3,14.5,14.29,14.4,2879300,7.67445
2006-01-24,14.4,14.71,14.29,14.46,4751800,7.706427
2006-01-25,14.6,14.6,14.13,14.31,4178600,7.626485
2006-01-26,14.39,14.45,14.13,14.16,6361000,7.546543
2006-01-27,14.12,14.25,14.0,14.1,5513800,7.514566
2006-01-30,14.06,14.06,13.95,13.98,7052700,7.450612
2006-01-31,14.0,14.38,13.99,14.31,7714000,7.626485
2006-02-01,14.17,14.51,14.17,14.32,4485300,7.631815
2006-02-02,14.37,14.45,14.27,14.37,3967400,7.658462
2006-02-03,14.23,14.29,14.15,14.25,3359000,7.594508
2006-02-06,14.19,14.56,14.19,14.49,4994300,7.722416
2006-02-07,14.37,14.53,14.34,14.48,3846900,7.717086
2006-02-08,14.4,14.67,14.35,14.66,4469800,7.813017
2006-02-09,14.65,14.74,14.32,14.34,4511600,7.642474
2006-02-10,14.31,14.54,14.23,14.5,3244200,7.727745
2006-02-13,14.46,14.55,14.27,14.44,2468100,7.695768
2006-02-14,14.45,14.56,14.29,14.49,2548300,7.722416
2006-02-15,14.42,14.61,14.41,14.56,2738000,7.759722
2006-02-16,14.53,14.81,14.47,14.72,3481400,7.844994
2006-02-17,14.72,14.84,14.66,14.76,2336100,7.866312
2006-02-21,14.72,14.8,14.63,14.7,2687700,7.834335
