Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,4.86,5.11,4.62,5.08,93700,5.08
2013-01-03,5.1,5.1,4.77,4.94,61700,4.94
2013-01-04,4.95,4.95,4.68,4.74,32600,4.74
2013-01-07,4.61,4.61,4.3,4.36,91800,4.36
2013-01-08,4.39,4.6,4.2,4.6,50400,4.6
2013-01-09,4.58,4.97,4.55,4.9,55100,4.9
2013-01-10,4.95,5.02,4.85,4.87,29200,4.87
2013-01-11,4.89,5.05,4.85,4.95,15800,4.95
2013-01-14,4.93,5.01,4.83,4.88,30600,4.88
2013-01-15,4.83,4.93,4.54,4.67,47700,4.67
2013-01-16,4.67,4.67,4.39,4.48,46200,4.48
2013-01-17,4.51,4.55,4.37,4.4,60800,4.4
2013-01-18,4.36,4.55,4.34,4.38,38800,4.38
2013-01-22,4.35,4.45,4.35,4.44,20500,4.44
2013-01-23,4.44,4.44,4.31,4.34,40100,4.34
2013-01-24,4.36,4.49,4.35,4.39,19800,4.39
2013-01-25,4.43,4.6,4.38,4.51,24500,4.51
2013-01-28,4.53,4.53,4.3,4.41,43000,4.41
2013-01-29,4.42,4.51,4.36,4.51,27800,4.51
2013-01-30,4.41,4.42,4.32,4.35,23100,4.35
2013-01-31,4.3,4.38,4.2,4.37,35800,4.37
2013-02-01,4.38,4.4,4.29,4.33,18600,4.33
2013-02-04,4.28,4.33,3.99,4.07,85800,4.07
2013-02-05,4.1,4.14,4.05,4.1,41200,4.1
2013-02-06,4.06,4.08,3.94,4.06,36300,4.06
2013-02-07,4.04,4.08,3.92,4.05,33300,4.05
2013-02-08,4.05,4.12,4.0,4.03,25100,4.03
2013-02-11,4.03,4.07,3.98,4.0,40200,4.0
2013-02-12,4.0,4.0,3.85,3.86,74700,3.86
2013-02-13,3.86,3.89,3.68,3.71,79600,3.71
2013-02-14,3.69,3.7,3.47,3.6,47400,3.6
2013-02-15,3.64,3.77,3.58,3.62,51300,3.62
2013-02-19,3.63,3.76,3.6,3.65,580200,3.65
2013-02-20,3.68,3.73,3.6,3.61,109400,3.61
2013-02-21,3.63,3.66,3.58,3.66,28300,3.66
2013-02-22,3.71,3.72,3.67,3.68,35300,3.68
2013-02-25,3.73,3.96,3.68,3.7,268400,3.7
2013-02-26,3.68,3.8,3.68,3.77,41700,3.77
2013-02-27,3.76,4.07,3.76,4.0,47400,4.0
2013-02-28,3.98,4.05,3.89,4.03,18400,4.03
2013-03-01,3.95,5.0,3.95,4.47,477800,4.47
2013-03-04,4.41,4.41,3.9,3.98,80600,3.98
2013-03-05,4.02,4.13,3.91,4.13,40000,4.13
2013-03-06,4.14,4.14,4.03,4.07,19000,4.07
2013-03-07,4.04,4.14,4.02,4.13,38200,4.13
2013-03-08,4.18,4.18,4.02,4.08,21800,4.08
2013-03-11,4.06,4.06,4.0,4.01,19600,4.01
2013-03-12,3.99,4.16,3.86,4.06,55200,4.06
2013-03-13,4.01,4.02,3.82,4.01,102600,4.01
2013-03-14,4.01,4.01,3.88,4.0,94800,4.0
2013-03-15,4.0,4.17,3.94,3.95,87500,3.95
2013-03-18,3.87,4.0,3.87,3.92,60400,3.92
2013-03-19,3.95,3.95,3.62,3.71,68600,3.71
2013-03-20,3.73,3.98,3.73,3.91,44200,3.91
2013-03-21,3.85,3.92,3.8,3.84,18000,3.84
2013-03-22,3.86,3.87,3.81,3.86,22200,3.86
2013-03-25,3.88,3.88,3.65,3.66,31200,3.66
2013-03-26,3.72,3.99,3.72,3.98,78100,3.98
2013-03-27,3.91,3.99,3.91,3.96,13500,3.96
2013-03-28,3.97,3.98,3.81,3.82,68500,3.82
2013-04-01,3.82,3.85,3.57,3.59,69600,3.59
2013-04-02,3.64,3.79,3.2,3.41,292700,3.41
2013-04-03,3.45,3.54,3.3,3.3,74500,3.3
2013-04-04,3.32,3.4,3.3,3.38,25400,3.38
2013-04-05,3.3,3.4,3.3,3.38,42800,3.38
2013-04-08,3.39,3.52,3.31,3.51,41000,3.51
2013-04-09,3.51,3.51,3.4,3.45,40700,3.45
2013-04-10,3.48,3.65,3.43,3.62,59300,3.62
2013-04-11,3.6,3.66,3.53,3.54,34900,3.54
2013-04-12,3.51,3.67,3.42,3.59,63600,3.59
2013-04-15,3.55,3.63,3.51,3.61,63500,3.61
2013-04-16,3.68,3.91,3.56,3.85,47800,3.85
2013-04-17,3.81,3.96,3.7,3.93,63000,3.93
2013-04-18,3.88,4.05,3.85,4.02,81500,4.02
2013-04-19,4.0,4.4,3.96,4.35,128800,4.35
2013-04-22,3.81,4.8,3.8,4.56,202100,4.56
2013-04-23,4.3,4.74,4.3,4.7,167900,4.7
2013-04-24,4.64,4.75,4.47,4.57,38600,4.57
2013-04-25,4.42,4.55,4.38,4.54,151800,4.54
2013-04-26,4.56,4.7,4.56,4.6,97900,4.6
2013-04-29,4.62,4.7,4.5,4.56,90900,4.56
2013-04-30,4.5,4.5,4.33,4.38,48400,4.38
2013-05-01,4.38,4.38,3.78,3.86,124700,3.86
2013-05-02,3.92,3.93,3.86,3.87,65500,3.87
2013-05-03,3.98,3.98,3.86,3.93,56400,3.93
2013-05-06,3.98,3.98,3.85,3.89,50200,3.89
2013-05-07,3.92,3.96,3.82,3.96,35500,3.96
2013-05-08,3.95,4.19,3.88,4.17,28700,4.17
2013-05-09,4.3,4.5,4.15,4.44,192700,4.44
